param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000477,0.000063,0.000000,0.003400
q_ind_1_pop_0,0.000947,0.000235,0.000000,0.005220
q_ind_2_pop_0,0.000688,0.000084,0.000000,0.005116
q_ind_3_pop_0,0.001098,0.000240,0.000000,0.006194
q_ind_4_pop_0,0.000428,0.000057,0.000000,0.003095
q_ind_5_pop_0,0.001327,0.000322,0.000000,0.007225
q_ind_6_pop_0,0.000316,0.000037,0.000000,0.002336
q_ind_7_pop_0,0.000335,0.000038,0.000000,0.002455
q_ind_8_pop_0,0.000653,0.000097,0.000000,0.004417
q_ind_9_pop_0,0.000273,0.000031,0.000000,0.002113
q_ind_10_pop_0,0.000489,0.000066,0.000000,0.003331
q_ind_11_pop_0,0.000312,0.000038,0.000000,0.002180
q_ind_12_pop_0,0.039212,0.039025,0.027130,0.052369
q_ind_13_pop_0,0.027368,0.027200,0.014716,0.040991
q_ind_14_pop_0,0.027399,0.027149,0.013334,0.042596
q_ind_15_pop_0,0.026372,0.026007,0.012329,0.042524
q_ind_16_pop_0,0.046325,0.046146,0.030668,0.063096
q_ind_17_pop_0,0.036583,0.036324,0.023413,0.051265
q_ind_18_pop_0,0.034844,0.034607,0.021416,0.049840
q_ind_19_pop_0,0.030487,0.030073,0.016407,0.046864
q_ind_20_pop_0,0.002734,0.000907,0.000000,0.013687
q_ind_21_pop_0,0.000334,0.000039,0.000000,0.002384
q_ind_22_pop_0,0.005165,0.004835,0.000008,0.012315
q_ind_23_pop_0,0.000269,0.000034,0.000000,0.001944
q_ind_24_pop_0,0.000395,0.000046,0.000000,0.002938
q_ind_25_pop_0,0.000858,0.000203,0.000000,0.004789
q_ind_26_pop_0,0.000426,0.000054,0.000000,0.003073
q_ind_27_pop_0,0.000208,0.000024,0.000000,0.001520
q_ind_28_pop_0,0.000512,0.000074,0.000000,0.003635
q_ind_29_pop_0,0.003232,0.001825,0.000000,0.013565
q_ind_30_pop_0,0.000178,0.000022,0.000000,0.001317
q_ind_31_pop_0,0.000209,0.000023,0.000000,0.001524
q_ind_32_pop_0,0.000405,0.000057,0.000000,0.002671
q_ind_33_pop_0,0.000328,0.000040,0.000000,0.002382
q_ind_34_pop_0,0.000209,0.000023,0.000000,0.001574
q_ind_35_pop_0,0.022358,0.022188,0.011893,0.034487
q_ind_36_pop_0,0.000224,0.000025,0.000000,0.001688
q_ind_37_pop_0,0.000285,0.000030,0.000000,0.002178
q_ind_38_pop_0,0.000471,0.000064,0.000000,0.003306
q_ind_39_pop_0,0.000298,0.000034,0.000000,0.002216
q_ind_40_pop_0,0.000252,0.000028,0.000000,0.001865
q_ind_41_pop_0,0.000306,0.000035,0.000000,0.002282
q_ind_42_pop_0,0.000866,0.000165,0.000000,0.005290
q_ind_43_pop_0,0.000419,0.000050,0.000000,0.003126
q_ind_44_pop_0,0.000588,0.000091,0.000000,0.003819
q_ind_45_pop_0,0.000987,0.000158,0.000000,0.006423
q_ind_46_pop_0,0.000421,0.000053,0.000000,0.003111
q_ind_47_pop_0,0.000346,0.000041,0.000000,0.002535
