"Sp","Ploidy","Pop","ID","All","SpPloidy","Name","Lat","Long","PopPloidy","PC1","PC2","PC3","PC4","PC5","A1","A2","A3","ESS1","ESS2","ESS3","Rhat1","Rhat2","Rhat3"
"CD",4,"SO",12,"CD4_SO_12","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-70.7968822806313,-99.8476002774677,-17.9942202892285,34.6185362308173,33.6564787207568,0.060425,0.312954,0.626622,2203.18,2799.19,3183.3,1,1,1
"CD",4,"SO",2,"CD4_SO_2","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-8.03003711886301,-71.0440768001146,-5.5113604875551,25.8896412198567,33.4570073586665,0.232003,0.376481,0.391515,3250.19,2753.58,3305.53,1,1.001,1
"CD",4,"SO",3,"CD4_SO_3","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-69.2365579728421,-95.2106217603271,-14.8511942598345,30.1131235639861,28.9261889746537,0.067486,0.347331,0.585184,2298.21,2538.62,2917.52,1.001,1.001,1.001
"CD",4,"SO",4,"CD4_SO_4","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-66.7420446964591,-86.8203739945944,-17.2870847641154,31.7318592570357,25.5399532648504,0.073507,0.385544,0.540949,1791.13,2487.56,2849.87,1.001,1,1
"CD",4,"SO",5,"CD4_SO_5","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-69.1862140718763,-93.7885260207201,-18.5681501297449,33.9090502569763,31.0404275484679,0.062369,0.337337,0.600295,2188.15,2862.5,3180.75,1,1,1.001
"CD",4,"SO",6,"CD4_SO_6","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-32.1250844650014,-58.316088646275,-5.77730519990051,13.6184978858938,25.6483505533695,0.174099,0.428867,0.397034,3107.16,2906.03,3296.33,1.003,1.001,1.003
"CD",4,"SO",7,"CD4_SO_7","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-68.1858747823456,-92.9051371043004,-16.4676912043553,33.1734566825504,31.0769014951857,0.05605,0.320503,0.623447,2090.42,2650.97,3018.68,1,1.001,1.001
"CD",4,"SO",8,"CD4_SO_8","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-67.4675336438261,-93.6190575007451,-16.9596106548682,30.4439606482828,30.7709955568822,0.062621,0.330774,0.606605,2014.59,2679.23,3043.29,1.002,1.001,1.001
"CD",4,"SO",9,"CD4_SO_9","CD4","Sonoma Range",40.92301,-117.63468,"SO4",-70.080564137254,-88.683127692174,-14.2296576270051,30.3082951697584,30.3999253741103,0.052192,0.336849,0.610959,2193.22,2641.32,3175.03,1.001,1.002,1.001
"CD",4,"ST",10,"CD4_ST_10","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-86.9068584633422,-107.41432018208,65.9816590407327,-107.149550239115,-16.1550408132546,0.022607,0.174826,0.802567,2347.05,2561.69,2792.06,1,1.001,1.001
"CD",4,"ST",11,"CD4_ST_11","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-86.2959164471894,-108.109625264186,72.5313482770182,-116.051025649206,-16.9178585577852,0.018867,0.158235,0.822898,2190.83,2839.15,3349.96,1,1.001,1.001
"CD",4,"ST",12,"CD4_ST_12","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-89.453790822781,-112.83525747753,73.7091187393856,-118.976263403517,-17.8837397395929,0.012842,0.117577,0.86958,2373.76,2838.27,3046.37,1,1,1
"CD",4,"ST",1,"CD4_ST_1","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-89.6249844128707,-108.4262612919,72.2206676929046,-113.850047245185,-15.8640428553343,0.013916,0.149511,0.836573,2534.89,2754.31,3110,1,1.001,1.001
"CD",4,"ST",2,"CD4_ST_2","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-90.4091999003568,-112.94004566628,72.8433103452955,-118.686648952801,-16.3747374337061,0.010729,0.111891,0.87738,2706.98,2657.7,3316.37,1,1.002,1.002
"CD",4,"ST",3,"CD4_ST_3","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-75.4882289195763,-107.314217511252,71.185789491588,-111.27985589531,-15.6182332820175,0.041599,0.174717,0.783684,2298.82,2535.45,3229.82,1.001,1.001,1.001
"CD",4,"ST",4,"CD4_ST_4","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-88.392173152567,-112.246618986825,71.8306831808233,-116.230491746145,-17.7182862594016,0.012433,0.101228,0.886339,2600.91,2851.84,3309.86,1.001,1,1
"CD",4,"ST",5,"CD4_ST_5","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-90.5112716547289,-115.642657633798,77.114172781131,-124.112190291268,-18.5285426540301,0.010031,0.095768,0.894201,2371.81,2911.45,3371.51,1.001,1,1
"CD",4,"ST",6,"CD4_ST_6","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-89.0415119644583,-111.27588366584,72.5461260789969,-117.442471947089,-17.1295670407599,0.012382,0.117475,0.870144,2394.82,2928.69,3663.96,1.001,1,1
"CD",4,"ST",7,"CD4_ST_7","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-89.8269288622722,-114.629987680625,75.5839020951405,-121.815128715246,-16.8219472487141,0.009558,0.085886,0.904556,2595.81,2733.11,3167.9,1,1.002,1.001
"CD",4,"ST",8,"CD4_ST_8","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-89.2384454705074,-110.209719235941,70.5949746137045,-113.788088735279,-17.03918851719,0.010341,0.106204,0.883455,2308.23,2585.48,3010.67,1,1,1
"CD",4,"ST",9,"CD4_ST_9","CD4","Schell Creek Range #4",38.76514,-114.75175,"ST4",-87.8960784410041,-108.622602208992,67.9269172073048,-110.552966769457,-14.9974815794399,0.009912,0.09654,0.893548,2417.9,2946.9,3345.4,1,1,1
"CD",4,"TR",10,"CD4_TR_10","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",2.7727720420093,-19.7419953538113,-26.7706533201308,25.1587873828289,-71.6039213217436,0.25298,0.500384,0.246636,2211.21,1674.57,1540.97,1,1.003,1.003
"CD",4,"TR",11,"CD4_TR_11","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",2.9161655731858,-19.0989266067561,-26.0706877888129,25.8103762897255,-77.9998806926525,0.259014,0.513374,0.227612,2291.67,1684.3,1572.7,1,1,1
"CD",4,"TR",12,"CD4_TR_12","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",3.80104316988874,-20.1109395463137,-28.4459365817924,28.1029128473783,-79.6159576188568,0.279071,0.490354,0.230575,2438.54,1880.5,1680.96,1,1.002,1.004
"CD",4,"TR",1,"CD4_TR_1","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",11.4250093275544,-21.2317048043435,-20.9047910127319,21.5789416685441,-57.8380465528382,0.256197,0.525773,0.21803,2218.73,1959.99,1896.27,1.001,1.001,1.001
"CD",4,"TR",2,"CD4_TR_2","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",6.33468770863076,-20.1737402621966,-25.5009588622693,27.1909160000331,-78.0519776538004,0.291909,0.472204,0.235887,2267.74,1738.73,1374.55,1.003,1.001,1
"CD",4,"TR",3,"CD4_TR_3","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",-28.6445621388666,24.1754810562875,10.9480691978888,33.1420195323987,-42.4295125905513,0.179628,0.674995,0.145378,2723.98,2612.03,1920.76,1,1,1.001
"CD",4,"TR",4,"CD4_TR_4","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",6.30962338257523,-15.7581048072287,-30.6840336431576,24.6338882011136,-83.5362180006752,0.296021,0.502827,0.201152,2348.33,2136.54,1649.63,1.004,1.001,1.001
"CD",4,"TR",5,"CD4_TR_5","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",2.64068231175812,-19.3499989338325,-25.7230208489753,25.2440395002699,-72.8352022701129,0.245599,0.508759,0.245642,2021.89,1864.95,1499.71,1.001,1,1.001
"CD",4,"TR",6,"CD4_TR_6","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",8.30412051894205,-20.2566191208345,-22.1982134931169,24.4000057845564,-65.9328469312715,0.256217,0.505474,0.23831,1846.94,1662.21,1333.75,1.003,1.001,1.004
"CD",4,"TR",7,"CD4_TR_7","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",3.58687175769394,-14.9804892653917,-25.1611982833073,21.589786152271,-69.9460280730343,0.250834,0.546889,0.202277,2573.45,1931.28,1763.77,1.001,1.001,1.001
"CD",4,"TR",8,"CD4_TR_8","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",5.82304761137741,-18.5968381690747,-26.6336212855862,27.1550285857694,-79.1627277927208,0.313244,0.473274,0.213483,2362.65,1957.82,1464.42,1.001,1.001,1.001
"CD",4,"TR",9,"CD4_TR_9","CD4","Trapper Creek Road",42.13646,-114.09426,"TR4",4.77178061240551,-19.0941109978276,-29.9173230339772,24.74855688368,-78.1935148995767,0.282022,0.485023,0.232955,2355.53,1886.71,1618.4,1,1,1.001
"CD",4,"WM",10,"CD4_WM_10","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.1001114163517,48.9669642185491,-46.2343794611268,-25.5664708411808,1.49100020928522,0.057061,0.845284,0.097655,1758.16,1665.34,1592.22,1.001,1,1
"CD",4,"WM",11,"CD4_WM_11","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-39.9743154578337,46.8896450369354,-44.6300105540731,-23.7841444538251,-0.40565438958126,0.063144,0.831862,0.104994,1798.44,1657.61,1352.63,1.001,1.001,1.003
"CD",4,"WM",12,"CD4_WM_12","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-24.6137164721798,26.9509786378703,-36.1738606877639,-8.82767477517838,-2.3427210730403,0.145534,0.708622,0.145843,2481.9,2445.89,1922.96,1,1,1.001
"CD",4,"WM",1,"CD4_WM_1","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.0981363189399,50.1997191067277,-44.9737587636349,-26.3230535806867,0.506463260691043,0.0385,0.878104,0.083396,1321.63,1500.91,1416.53,1.002,1,1.001
"CD",4,"WM",2,"CD4_WM_2","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-39.714400272862,48.5627874104406,-45.3236711202113,-25.418633410251,0.915724924406453,0.05035,0.855381,0.09427,1670.64,1654.54,1377.38,1.002,1.002,1
"CD",4,"WM",3,"CD4_WM_3","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.2180678408342,49.08513777638,-45.0780466889099,-24.888703243046,-0.9123075770636,0.051442,0.844217,0.104341,1680.32,1276.26,1075.22,1.002,1.006,1.005
"CD",4,"WM",4,"CD4_WM_4","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.117561226983,48.527564564272,-41.1654276617114,-22.5228365645555,-0.185415571533577,0.075545,0.811334,0.113122,1911.98,1897.23,1320.75,1,1.001,1.001
"CD",4,"WM",5,"CD4_WM_5","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.7720965339721,51.2906853237006,-46.391369405655,-25.8773753408503,1.71502031791654,0.035391,0.890907,0.073703,1471.53,1398.74,1261.11,1,1.002,1.002
"CD",4,"WM",6,"CD4_WM_6","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-39.1520757333747,47.9022135586538,-46.778639271719,-26.4573387893963,3.06978671998555,0.041886,0.869246,0.088868,1561.05,1531.56,1161.24,1,1.003,1.005
"CD",4,"WM",7,"CD4_WM_7","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-39.9489731844874,47.5115173550697,-42.0384483477209,-24.0175999757771,3.55490806154156,0.096156,0.766889,0.136955,2173.91,2157.45,1846.14,1.001,1.001,1.002
"CD",4,"WM",8,"CD4_WM_8","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-39.070032138896,45.1547578366621,-40.07014177593,-22.4996381554688,1.5322501055857,0.094591,0.755243,0.150166,1896.49,1590.91,1371.41,1.001,1,1
"CD",4,"WM",9,"CD4_WM_9","CD4","Winnemucca Mountain",41.01334,-117.78088,"WM4",-41.2401657421762,47.1361227200721,-44.7173168787687,-23.9778631722422,-0.879623016935957,0.032663,0.87947,0.087867,1617,1433.97,1229.49,1,1,1.001
"CD",6,"AI",10,"CD6_AI_10","CD6","Arco Hills",43.62136,-113.22755,"AI6",51.0738256365522,-7.7804098588786,-9.42207328433151,10.110720465163,-33.0966259872585,0.85483,0.016557,0.128612,1244.51,729.82,1246.29,1.004,1.002,1.004
"CD",6,"AI",11,"CD6_AI_11","CD6","Arco Hills",43.62136,-113.22755,"AI6",55.1636999390849,-5.99301942787957,-6.97262834741964,8.40234257073927,-39.1867986994503,0.858362,0.005167,0.136472,1082.51,270.68,979.41,1.003,1.002,1.002
"CD",6,"AI",1,"CD6_AI_1","CD6","Arco Hills",43.62136,-113.22755,"AI6",52.7141671814284,-5.95614303111456,-7.89171927641676,7.77700144189919,-36.0187974379847,0.859201,0.009411,0.131388,1082.21,611.74,938.09,1.004,1.003,1.003
"CD",6,"AI",2,"CD6_AI_2","CD6","Arco Hills",43.62136,-113.22755,"AI6",53.8615976059149,-5.49578420183303,-9.28290375317274,8.67943690880215,-37.8461427966833,0.885038,0.012384,0.102578,1131.76,386.73,1081.81,1.005,1.005,1.003
"CD",6,"AI",3,"CD6_AI_3","CD6","Arco Hills",43.62136,-113.22755,"AI6",51.2108961344977,-8.5149039788283,-7.3533341521271,10.4899837904269,-35.8387170816101,0.85013,0.009036,0.140834,1209.25,532.58,1054.75,1.004,1.003,1.002
"CD",6,"AI",4,"CD6_AI_4","CD6","Arco Hills",43.62136,-113.22755,"AI6",54.5963467998238,-8.15503765227416,-4.74041065478214,8.77679240629325,-34.3120507029423,0.836764,0.000484,0.162752,1307.86,537.23,1299.2,1.002,1.001,1.003
"CD",6,"AI",5,"CD6_AI_5","CD6","Arco Hills",43.62136,-113.22755,"AI6",51.6323622574818,-6.64964014458888,-9.10105297882084,10.0470720746277,-42.8991274677885,0.861238,0.012886,0.125875,972.99,502.88,887.96,1.003,1.011,1.004
"CD",6,"AI",6,"CD6_AI_6","CD6","Arco Hills",43.62136,-113.22755,"AI6",50.9371545611959,-7.01179260986707,-10.6304601812623,8.9906737987222,-40.6022244060704,0.851408,0.01595,0.132642,1191.61,461.82,1049.53,1.004,1.006,1.001
"CD",6,"AI",7,"CD6_AI_7","CD6","Arco Hills",43.62136,-113.22755,"AI6",52.2292570631729,-8.48078905587482,-8.11397825876631,10.3853187614773,-39.8241413699867,0.84869,0.002333,0.148977,1060.61,236.64,1182.1,1.004,1.012,1.001
"CD",6,"AI",8,"CD6_AI_8","CD6","Arco Hills",43.62136,-113.22755,"AI6",53.7954462323271,-6.7237129397443,-7.98549174855248,10.2439360056425,-40.2553732769213,0.874198,0.010106,0.115696,1244.5,578.75,1164.45,1.004,1.002,1.004
"CD",6,"AI",9,"CD6_AI_9","CD6","Arco Hills",43.62136,-113.22755,"AI6",48.9869130727438,-6.92273725265259,-9.88952658344905,9.97752373870001,-38.3545970256235,0.861176,0.021087,0.117737,983.24,663.45,968.74,1.005,1.006,1.004
"CD",6,"AO",1,"CD6_AO_1","CD6","Asotin",46.2621,-117.2985,"AO6",83.2961214694563,-4.71278378428083,11.9669401839024,-1.75220010419872,-11.1152326002409,0.968777,0.000212,0.03101,590.46,1595.48,594.59,1.012,1.001,1.013
"CD",6,"AO",2,"CD6_AO_2","CD6","Asotin",46.2621,-117.2985,"AO6",73.8541078918547,-7.68850383663243,8.38627598273521,2.59262275853946,-13.1601197633822,0.934469,0.00065,0.064881,978.75,963.09,979.09,1.003,1,1.004
"CD",6,"AO",3,"CD6_AO_3","CD6","Asotin",46.2621,-117.2985,"AO6",84.897468874975,-3.60400221670685,10.8735552503918,-1.06484347073813,-11.713349402744,0.968975,0.000242,0.030784,697.58,1451.82,696.71,1.001,1,1.001
"CD",6,"AO",4,"CD6_AO_4","CD6","Asotin",46.2621,-117.2985,"AO6",84.699271835483,-4.65830097382225,13.4534142440071,-0.213208609251723,-8.48563853859664,0.9465,0.000238,0.053262,475.29,1761.56,464.24,1.003,1.001,1.003
"CD",6,"AO",5,"CD6_AO_5","CD6","Asotin",46.2621,-117.2985,"AO6",82.7730125774309,-4.68038848682241,11.241836407025,-1.08810895702258,-12.2182559960502,0.97603,0.000363,0.023607,713.42,1458,718.53,1.003,1.001,1.004
"CD",6,"AO",6,"CD6_AO_6","CD6","Asotin",46.2621,-117.2985,"AO6",81.8561968398556,-4.55975046827888,11.4629152788455,-1.19717394347433,-10.160731248097,0.960313,0.000399,0.039289,806.47,1529.93,772.95,1.007,1.002,1.007
"CD",6,"AO",7,"CD6_AO_7","CD6","Asotin",46.2621,-117.2985,"AO6",82.6492423172191,-5.57862264950182,12.9868958211453,0.474373788705549,-10.3572535863755,0.957183,0.000264,0.042553,927.41,1563.15,916.98,1.005,1,1.005
"CD",6,"AO",8,"CD6_AO_8","CD6","Asotin",46.2621,-117.2985,"AO6",82.5906757013513,-3.67494168456796,11.2923202680485,-1.49900074086883,-6.73451697139715,0.946006,0.000239,0.053754,563.93,1356.72,564.16,1,1.003,1
"CD",6,"AO",9,"CD6_AO_9","CD6","Asotin",46.2621,-117.2985,"AO6",82.4927246126927,-4.12054113447309,10.4684024469951,-0.405418483046801,-10.007578071925,0.940533,0.000271,0.059196,544.81,1636.65,542.99,1.004,1,1.004
"CD",6,"CP",10,"CD6_CP_10","CD6","Camel Pass",40.18523,-111.56686,"CP6",-65.3508479647165,-92.3147842861103,-22.1227686589517,36.6225013131575,31.130422436499,0.308602,0.000743,0.690655,2532.97,1327.96,2652.37,1,1.003,1
"CD",6,"CP",11,"CD6_CP_11","CD6","Camel Pass",40.18523,-111.56686,"CP6",-65.6595240311007,-91.8320973669999,-22.6748574090114,38.1018935847052,30.5720702147953,0.301863,0.001558,0.696579,2134.97,1283.89,2038.65,1.001,1.002,1.001
"CD",6,"CP",1,"CD6_CP_1","CD6","Camel Pass",40.18523,-111.56686,"CP6",-66.2971596467124,-94.6926947992253,-23.1752093638916,39.8276862865165,35.1122781840451,0.298906,0.001621,0.699473,2319.52,927.51,2313.54,1,1.004,1
"CD",6,"CP",2,"CD6_CP_2","CD6","Camel Pass",40.18523,-111.56686,"CP6",-67.0639598063268,-97.7214407174132,-21.9558468961109,39.086783298146,32.3305564596591,0.306659,0.001119,0.692221,2192.91,1286.19,2167.31,1.001,1.003,1.001
"CD",6,"CP",3,"CD6_CP_3","CD6","Camel Pass",40.18523,-111.56686,"CP6",-68.8144859464762,-96.5537523879197,-21.8839129374553,38.858226011647,34.9393842749509,0.264435,0.003559,0.732006,2440.6,967.65,2409.65,1,1.001,1
"CD",6,"CP",4,"CD6_CP_4","CD6","Camel Pass",40.18523,-111.56686,"CP6",-67.9729004698445,-98.2329566977142,-23.2127906346236,40.8303780234067,34.6721581070935,0.274149,0.00121,0.724641,2367.18,1462.78,2326.82,1,1.001,1
"CD",6,"CP",5,"CD6_CP_5","CD6","Camel Pass",40.18523,-111.56686,"CP6",-67.5626356397619,-94.732706990605,-21.6462308440422,36.963446501407,30.9544585857644,0.271414,0.002346,0.726241,2191.76,1246.4,2199.07,1,1.002,1
"CD",6,"CP",6,"CD6_CP_6","CD6","Camel Pass",40.18523,-111.56686,"CP6",-67.6632444115325,-99.8934949846417,-23.095794268375,41.1915738157632,36.9107508161181,0.21736,0.004471,0.778169,2314.33,1330.4,2393.86,1.001,1.007,1.002
"CD",6,"CP",7,"CD6_CP_7","CD6","Camel Pass",40.18523,-111.56686,"CP6",-68.3116659264821,-98.6399587786781,-23.9818650614548,42.8082501793183,35.7156337369244,0.218285,0.00354,0.778175,2176.56,1011.06,2201.84,1,1,1
"CD",6,"CP",9,"CD6_CP_9","CD6","Camel Pass",40.18523,-111.56686,"CP6",-67.283887642338,-95.0277218468874,-23.2950513353877,41.7007095833458,33.2233534191969,0.267709,0.001388,0.730903,2054.43,1369.77,2033.67,1.003,1.001,1.003
