param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1139.86,1.003
q_ind_1_pop_0,758.70,1.002
q_ind_2_pop_0,673.20,1.004
q_ind_3_pop_0,661.31,1.001
q_ind_4_pop_0,1063.51,1.002
q_ind_5_pop_0,706.63,1.002
q_ind_6_pop_0,1468.02,1.000
q_ind_7_pop_0,1466.97,1.001
q_ind_8_pop_0,979.42,1.000
q_ind_9_pop_0,1739.11,1.003
q_ind_10_pop_0,1106.53,1.000
q_ind_11_pop_0,1521.91,1.001
q_ind_12_pop_0,1823.38,1.000
q_ind_13_pop_0,958.68,1.001
q_ind_14_pop_0,876.85,1.001
q_ind_15_pop_0,901.21,1.004
q_ind_16_pop_0,1157.74,1.000
q_ind_17_pop_0,1274.25,1.002
q_ind_18_pop_0,1164.97,1.000
q_ind_19_pop_0,879.41,1.003
q_ind_20_pop_0,314.80,1.000
q_ind_21_pop_0,1605.12,1.001
q_ind_22_pop_0,710.71,1.002
q_ind_23_pop_0,1829.54,1.001
q_ind_24_pop_0,1303.82,1.005
q_ind_25_pop_0,864.01,1.007
q_ind_26_pop_0,1096.27,1.001
q_ind_27_pop_0,2321.19,1.002
q_ind_28_pop_0,962.20,1.001
q_ind_29_pop_0,388.87,1.001
q_ind_30_pop_0,2679.61,1.000
q_ind_31_pop_0,2452.86,1.000
q_ind_32_pop_0,1382.08,1.001
q_ind_33_pop_0,1212.14,1.000
q_ind_34_pop_0,2229.84,1.002
q_ind_35_pop_0,1266.29,1.004
q_ind_36_pop_0,1881.61,1.000
q_ind_37_pop_0,1766.47,1.001
q_ind_38_pop_0,1022.78,1.003
q_ind_39_pop_0,1543.11,1.001
q_ind_40_pop_0,1801.59,1.001
q_ind_41_pop_0,1367.26,1.000
q_ind_42_pop_0,629.78,1.005
q_ind_43_pop_0,1091.63,1.001
q_ind_44_pop_0,1006.48,1.000
q_ind_45_pop_0,572.00,1.003
q_ind_46_pop_0,1039.19,1.003
q_ind_47_pop_0,1490.93,1.002
q_ind_48_pop_0,955.36,1.002
q_ind_49_pop_0,816.65,1.007
q_ind_50_pop_0,613.60,1.006
q_ind_51_pop_0,1179.94,1.000
q_ind_52_pop_0,803.78,1.007
q_ind_53_pop_0,1049.71,1.001
q_ind_54_pop_0,576.73,1.001
q_ind_55_pop_0,468.79,1.005
q_ind_56_pop_0,1529.41,1.001
q_ind_57_pop_0,694.64,1.002
q_ind_58_pop_0,2102.29,1.001
q_ind_59_pop_0,1348.77,1.000
q_ind_60_pop_0,2598.63,1.000
q_ind_61_pop_0,1087.71,1.001
q_ind_62_pop_0,2326.67,1.001
q_ind_63_pop_0,2109.21,1.003
q_ind_64_pop_0,1504.61,1.003
q_ind_65_pop_0,1672.71,1.001
q_ind_66_pop_0,1379.08,1.001
q_ind_67_pop_0,2716.15,1.000
q_ind_68_pop_0,1235.45,1.000
q_ind_69_pop_0,1023.10,1.002
q_ind_70_pop_0,1327.45,1.001
q_ind_71_pop_0,2255.27,1.002
q_ind_72_pop_0,3384.64,1.001
q_ind_73_pop_0,1696.40,1.001
q_ind_74_pop_0,2423.68,1.000
q_ind_75_pop_0,2282.20,1.001
q_ind_76_pop_0,1726.96,1.000
q_ind_77_pop_0,2581.37,1.001
q_ind_78_pop_0,2600.57,1.000
q_ind_79_pop_0,1721.44,1.000
q_ind_80_pop_0,2144.86,1.001
q_ind_81_pop_0,1465.13,1.000
q_ind_82_pop_0,1516.49,1.001
q_ind_83_pop_0,612.15,1.005
q_ind_84_pop_0,894.91,1.008
q_ind_85_pop_0,571.53,1.008
q_ind_86_pop_0,782.51,1.002
q_ind_87_pop_0,1391.27,1.000
q_ind_88_pop_0,729.19,1.001
q_ind_89_pop_0,715.98,1.001
q_ind_90_pop_0,1716.46,1.000
q_ind_91_pop_0,2067.80,1.000
q_ind_92_pop_0,2075.45,1.000
q_ind_93_pop_0,869.35,1.001
q_ind_94_pop_0,2219.74,1.000
q_ind_95_pop_0,1547.73,1.001
q_ind_96_pop_0,1078.20,1.002
q_ind_97_pop_0,1330.80,1.000
q_ind_98_pop_0,1446.33,1.000
q_ind_99_pop_0,1823.55,1.001
q_ind_100_pop_0,1184.77,1.000
q_ind_101_pop_0,1286.70,1.001
q_ind_102_pop_0,1218.14,1.002
q_ind_103_pop_0,985.97,1.002
q_ind_104_pop_0,838.87,1.001
q_ind_105_pop_0,1250.58,1.001
q_ind_106_pop_0,1143.70,1.005
q_ind_107_pop_0,1119.29,1.001
q_ind_108_pop_0,1286.85,1.001
q_ind_109_pop_0,1178.34,1.000
q_ind_110_pop_0,1020.44,1.003
q_ind_111_pop_0,1286.05,1.000
q_ind_112_pop_0,2072.73,1.001
q_ind_113_pop_0,2729.76,1.000
q_ind_114_pop_0,2211.65,1.001
q_ind_115_pop_0,2638.69,1.000
q_ind_116_pop_0,2028.74,1.001
q_ind_117_pop_0,2143.54,1.000
q_ind_118_pop_0,2248.57,1.002
q_ind_119_pop_0,2227.99,1.003
q_ind_120_pop_0,2425.09,1.001
q_ind_121_pop_0,2545.28,1.000
q_ind_122_pop_0,1978.51,1.002
q_ind_123_pop_0,1901.09,1.000
q_ind_124_pop_0,1812.68,1.001
q_ind_125_pop_0,1216.07,1.000
