param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.280717,0.280752,0.249099,0.312360
q_ind_1_pop_0,0.252474,0.252284,0.225554,0.279903
q_ind_2_pop_0,0.226008,0.225792,0.193528,0.260123
q_ind_3_pop_0,0.220626,0.220507,0.194180,0.247272
q_ind_4_pop_0,0.233422,0.233385,0.209454,0.258060
q_ind_5_pop_0,0.227796,0.227526,0.197705,0.259298
q_ind_6_pop_0,0.253403,0.253335,0.228296,0.279711
q_ind_7_pop_0,0.225260,0.225196,0.198000,0.252790
q_ind_8_pop_0,0.254015,0.253794,0.228340,0.280585
q_ind_9_pop_0,0.236123,0.236018,0.209735,0.263066
q_ind_10_pop_0,0.253129,0.253095,0.227174,0.279193
q_ind_11_pop_0,0.247122,0.247182,0.219841,0.274168
q_ind_12_pop_0,0.282292,0.282303,0.260046,0.304308
q_ind_13_pop_0,0.000609,0.000097,0.000000,0.004161
q_ind_14_pop_0,0.000592,0.000095,0.000000,0.004069
q_ind_15_pop_0,0.000723,0.000120,0.000000,0.004859
q_ind_16_pop_0,0.000501,0.000076,0.000000,0.003538
q_ind_17_pop_0,0.000690,0.000120,0.000000,0.004425
q_ind_18_pop_0,0.005389,0.004577,0.000000,0.016188
q_ind_19_pop_0,0.000747,0.000139,0.000000,0.004864
q_ind_20_pop_0,0.784551,0.784559,0.756247,0.812680
q_ind_21_pop_0,0.999137,0.999816,0.994559,1.000000
q_ind_22_pop_0,0.998601,0.999682,0.991905,1.000000
q_ind_23_pop_0,0.999623,0.999933,0.997464,1.000000
q_ind_24_pop_0,0.999615,0.999936,0.997350,1.000000
q_ind_25_pop_0,0.999594,0.999933,0.997195,1.000000
q_ind_26_pop_0,0.999523,0.999917,0.996767,1.000000
q_ind_27_pop_0,0.999638,0.999946,0.997402,1.000000
q_ind_28_pop_0,0.995147,0.996599,0.983051,1.000000
q_ind_29_pop_0,0.897495,0.897648,0.874986,0.919100
q_ind_30_pop_0,0.999732,0.999959,0.998139,1.000000
q_ind_31_pop_0,0.999671,0.999944,0.997757,1.000000
q_ind_32_pop_0,0.000215,0.000035,0.000000,0.001481
q_ind_33_pop_0,0.000327,0.000053,0.000000,0.002265
