param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,1507.74,1.000
q_ind_1_pop_0,2017.95,1.001
q_ind_2_pop_0,1195.09,1.000
q_ind_3_pop_0,1919.04,1.002
q_ind_4_pop_0,2509.00,1.001
q_ind_5_pop_0,1106.61,1.003
q_ind_6_pop_0,2359.91,1.000
q_ind_7_pop_0,1678.40,1.000
q_ind_8_pop_0,2080.48,1.001
q_ind_9_pop_0,1900.28,1.001
q_ind_10_pop_0,1586.25,1.000
q_ind_11_pop_0,1816.80,1.000
q_ind_12_pop_0,3219.17,1.000
q_ind_13_pop_0,994.27,1.002
q_ind_14_pop_0,1028.85,1.002
q_ind_15_pop_0,771.76,1.003
q_ind_16_pop_0,1038.15,1.000
q_ind_17_pop_0,810.39,1.004
q_ind_18_pop_0,363.71,1.003
q_ind_19_pop_0,840.39,1.004
q_ind_20_pop_0,1621.25,1.002
q_ind_21_pop_0,825.66,1.001
q_ind_22_pop_0,488.08,1.006
q_ind_23_pop_0,1458.46,1.001
q_ind_24_pop_0,1607.95,1.002
q_ind_25_pop_0,1542.30,1.001
q_ind_26_pop_0,1407.85,1.002
q_ind_27_pop_0,1401.99,1.000
q_ind_28_pop_0,321.65,1.006
q_ind_29_pop_0,1475.40,1.001
q_ind_30_pop_0,2238.13,1.000
q_ind_31_pop_0,1633.18,1.000
q_ind_32_pop_0,2612.91,1.002
q_ind_33_pop_0,1602.36,1.001
q_ind_34_pop_0,2168.73,1.001
q_ind_35_pop_0,2451.58,1.001
q_ind_36_pop_0,2620.12,1.001
q_ind_37_pop_0,1144.53,1.001
q_ind_38_pop_0,1495.30,1.006
q_ind_39_pop_0,736.79,1.001
q_ind_40_pop_0,1630.80,1.002
q_ind_41_pop_0,580.91,1.008
q_ind_42_pop_0,451.25,1.004
q_ind_43_pop_0,1307.98,1.002
q_ind_44_pop_0,710.45,1.003
q_ind_45_pop_0,234.78,1.002
q_ind_46_pop_0,272.38,1.001
q_ind_47_pop_0,860.66,1.003
q_ind_48_pop_0,1143.47,1.003
q_ind_49_pop_0,705.59,1.002
q_ind_50_pop_0,604.73,1.003
q_ind_51_pop_0,395.04,1.002
q_ind_52_pop_0,558.83,1.005
q_ind_53_pop_0,948.21,1.001
q_ind_54_pop_0,343.56,1.001
q_ind_55_pop_0,383.74,1.013
q_ind_56_pop_0,1514.63,1.001
q_ind_57_pop_0,750.09,1.002
q_ind_58_pop_0,2450.55,1.002
q_ind_59_pop_0,1833.07,1.002
q_ind_60_pop_0,2471.11,1.001
q_ind_61_pop_0,1241.57,1.001
q_ind_62_pop_0,2555.37,1.000
q_ind_63_pop_0,3197.90,1.001
q_ind_64_pop_0,1761.82,1.000
q_ind_65_pop_0,2441.95,1.000
q_ind_66_pop_0,1860.62,1.001
q_ind_67_pop_0,2277.47,1.000
q_ind_68_pop_0,908.11,1.004
q_ind_69_pop_0,2130.18,1.003
q_ind_70_pop_0,2315.32,1.001
q_ind_71_pop_0,912.47,1.002
q_ind_72_pop_0,1279.13,1.000
q_ind_73_pop_0,705.28,1.002
q_ind_74_pop_0,512.95,1.004
q_ind_75_pop_0,604.52,1.002
q_ind_76_pop_0,419.22,1.003
q_ind_77_pop_0,1475.22,1.004
q_ind_78_pop_0,2182.38,1.001
q_ind_79_pop_0,1046.42,1.000
q_ind_80_pop_0,1687.02,1.004
q_ind_81_pop_0,1408.10,1.001
q_ind_82_pop_0,999.81,1.001
q_ind_83_pop_0,844.12,1.002
q_ind_84_pop_0,1062.25,1.004
q_ind_85_pop_0,746.81,1.002
q_ind_86_pop_0,1010.99,1.001
q_ind_87_pop_0,1154.14,1.003
q_ind_88_pop_0,1276.25,1.000
q_ind_89_pop_0,1367.24,1.000
q_ind_90_pop_0,1462.86,1.000
q_ind_91_pop_0,1684.60,1.002
q_ind_92_pop_0,1061.84,1.001
q_ind_93_pop_0,452.37,1.002
q_ind_94_pop_0,1445.57,1.001
q_ind_95_pop_0,1315.59,1.001
q_ind_96_pop_0,722.60,1.003
q_ind_97_pop_0,1443.49,1.001
q_ind_98_pop_0,1226.57,1.003
q_ind_99_pop_0,2366.03,1.001
q_ind_100_pop_0,1565.61,1.002
q_ind_101_pop_0,1732.41,1.001
q_ind_102_pop_0,1817.59,1.001
q_ind_103_pop_0,1774.84,1.001
q_ind_104_pop_0,2064.19,1.002
q_ind_105_pop_0,1664.92,1.003
q_ind_106_pop_0,1547.25,1.002
q_ind_107_pop_0,1732.00,1.001
q_ind_108_pop_0,1903.96,1.003
q_ind_109_pop_0,1764.44,1.003
q_ind_110_pop_0,1728.19,1.001
q_ind_111_pop_0,1906.98,1.002
q_ind_112_pop_0,1680.10,1.000
q_ind_113_pop_0,2374.66,1.001
q_ind_114_pop_0,2043.93,1.001
q_ind_115_pop_0,1798.41,1.001
q_ind_116_pop_0,1918.75,1.002
q_ind_117_pop_0,1963.76,1.000
q_ind_118_pop_0,1866.38,1.002
q_ind_119_pop_0,1686.26,1.001
q_ind_120_pop_0,2191.95,1.002
q_ind_121_pop_0,1987.63,1.001
q_ind_122_pop_0,1953.77,1.002
q_ind_123_pop_0,1890.02,1.002
q_ind_124_pop_0,2301.51,1.000
q_ind_125_pop_0,1878.08,1.001
q_ind_126_pop_0,2140.33,1.001
q_ind_127_pop_0,1994.04,1.001
q_ind_128_pop_0,1936.00,1.000
q_ind_129_pop_0,1873.14,1.001
q_ind_130_pop_0,1982.56,1.001
q_ind_131_pop_0,2175.53,1.002
q_ind_132_pop_0,2153.94,1.000
q_ind_133_pop_0,2272.71,1.001
q_ind_134_pop_0,2902.71,1.001
q_ind_135_pop_0,2560.21,1.001
q_ind_136_pop_0,2693.48,1.000
q_ind_137_pop_0,2160.35,1.002
q_ind_138_pop_0,2009.24,1.001
q_ind_139_pop_0,2194.23,1.001
q_ind_140_pop_0,2672.31,1.000
q_ind_141_pop_0,2396.90,1.000
q_ind_142_pop_0,2094.32,1.000
q_ind_143_pop_0,2291.16,1.002
q_ind_144_pop_0,2394.29,1.001
q_ind_145_pop_0,2472.54,1.002
q_ind_146_pop_0,2511.55,1.001
q_ind_147_pop_0,2366.03,1.000
q_ind_148_pop_0,2534.55,1.000
q_ind_149_pop_0,2364.51,1.000
q_ind_150_pop_0,2302.31,1.000
q_ind_151_pop_0,2679.27,1.001
q_ind_152_pop_0,2531.36,1.000
q_ind_153_pop_0,2339.66,1.000
q_ind_154_pop_0,2201.78,1.004
q_ind_155_pop_0,2466.15,1.002
q_ind_156_pop_0,2875.58,1.001
q_ind_157_pop_0,2105.17,1.001
q_ind_158_pop_0,2404.86,1.002
q_ind_159_pop_0,1319.84,1.003
q_ind_160_pop_0,1250.94,1.002
q_ind_161_pop_0,1763.15,1.001
q_ind_162_pop_0,1566.10,1.002
q_ind_163_pop_0,1346.04,1.000
q_ind_164_pop_0,1398.90,1.000
