"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"49",NA,NA,49.5725,-119.6378,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.09",2,"EF485592","EF485926","PI 598960","41","56","2",0.0025,0.994,0.003,5e-04,"Columbia","Columbia"
"50",NA,NA,48.8543,-119.6363,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.50",3,"EF485763","EF486097","T-1074","42","56","2",0.005,0.9917,0.002,0.0017,"Columbia","Columbia"
"51",NA,NA,47.2727,-119.5747,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.22",3,"EF485814","EF486148","T-990","41","56","2",0.003,0.9937,0.003,0.001,"Columbia","Columbia"
"52",NA,NA,47.487,-119.5078,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.28",3,"EF485820","EF486154","T-985","40","56","2",0.0043,0.9867,0.0073,0.002,"Columbia","Columbia"
"53",NA,NA,48.967,-119.492,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.03",3,"EF485586","EF485920","PI 636665","42","56","2",0.004,0.989,0.0057,0.0013,"Columbia","Columbia"
"54",NA,NA,48.5848,-119.4858,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.44",3,"EF485834","EF486168","T-1077","42","56","2",0.0013,0.9957,0.0017,0.0013,"Columbia","Columbia"
"55",NA,NA,48.5542,-119.419,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.43",3,"EF485833","EF486167","T-1076","42","56","2",0.0067,0.9807,0.0043,0.0083,"Columbia","Columbia"
"56",NA,NA,50.0745,-119.3922,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.12",2,"EF485595","EF485929","T-1068","41","56","2",0.005,0.992,0.0025,0.001,"Columbia","Columbia"
"57",NA,NA,47.6018,-119.373,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.31",3,"EF485823","EF486157","T-986","40","56","2",0.004,0.9927,0.002,0.001,"Columbia","Columbia"
"58",NA,NA,48.618,-119.3718,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.48",3,"EF485837","EF486171","T-1075","41","56","2",0.0043,0.9893,0.0057,0.001,"Columbia","Columbia"
"59",NA,NA,48.2337,-119.301,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.39",3,"EF485830","EF486164","T-1049","42","56","2",0.0023,0.9943,0.0017,0.0013,"Columbia","Columbia"
"60",NA,NA,47.4215,-119.2902,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_WA.27",2,"EF485819","EF486153","T-984","42","56","2",0.005,0.9925,0.002,0.001,"Columbia","Columbia"
"61",NA,NA,50.3203,-119.2403,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_BC.17",2,"EF485600","EF485934","PI 598959","41","56","2",0.0015,0.996,0.0015,5e-04,"Columbia","Columbia"
