"","Location_Name","Lot_Number","Y","X","ELEV_ft","STATE","COUNTY","COLLECT_DATE","PROV_SEED_ZONE","Plant Code","seed_weight","tz_2014_pct","ploidy_chr","notes","gb_psz","prop_weight","accession_id","No. plants","trnH-psbA cpDNA sequence","trnK-rps16 cpDNA sequence","Accession name","cpDNA haplotype","ploidy_num","bayesian_group","L. cinreus Rocky Mtn. race","L. cinreus Columbia race","L. cinreus Great Basin race","L. triticoides","race","color_group"
"127",NA,NA,39.443,-117.1761,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.02",2,"EF485660","EF485994","Gold Venture","44","28","3",0.073,0.002,0.924,0.001,"Great Basin","Great Basin"
"128",NA,NA,43.4078,-117.1185,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.17",3,"EF485734","EF486068","T-1649","-","56","1",0.6453,0.025,0.3293,7e-04,"Rocky Mtn.","Rocky Mtn."
"129",NA,NA,40.7833,-117.0833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.23",2,"EF485681","EF486015","Acc:398","41","28","1",0.71,0.003,0.286,0.001,"Rocky Mtn.","Rocky Mtn."
"130",NA,NA,42.9761,-117.058,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_OR.13",2,"EF485730","EF486064","T-1650","40","56","1",0.875,0.102,0.018,0.005,"Rocky Mtn.","Rocky Mtn."
"131",NA,NA,43.2478,-117.0262,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.07",2,"EF485634","EF485968","U105-01","40","28","1",0.518,0.179,0.3025,0.001,"Rocky Mtn.","Rocky Mtn."
"132",NA,NA,39.4748,-117.0022,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.07",3,"EF485663","EF485997","-","44","28","1",0.5643,0.0027,0.4273,0.0057,"Rocky Mtn.","Rocky Mtn."
"133","Grass Valley LECI4","LECI4-2501-2014",39.474901,-117.001841,6850,"Nevada","Lander",2014-08-05,"20 - 25 Deg. F. / 6 - 12","LECI4",0.5,90,"Octoploid",NA,"Zone 16",0.150132275132275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 16"
"134",NA,NA,40.6421,-116.9343,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.24",2,"-","-","Acc:637","-","56","1",0.5575,0.0055,0.2045,0.2325,"Rocky Mtn.","Rocky Mtn."
"135",NA,NA,44.0331,-116.8466,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.23",3,"EF485650","EF485984","U107-01","41","28","1",0.853,0.0667,0.0797,0.001,"Rocky Mtn.","Rocky Mtn."
"136",NA,NA,44.0331,-116.8466,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.24",2,"EF485651","EF485985","U109-01","40","28","1",0.9825,0.006,0.0105,0.001,"Rocky Mtn.","Rocky Mtn."
"137","West of Water Canyon LECI4","LECI4-1142-2014",40.614029,-116.680909,7022,"Nevada","Lander",2014-07-31,"20 - 25 Deg. F. / 6 - 12","LECI4",0.220264317180617,98,"Tetraploid",NA,"Zone 16",0.0661375661375661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 16"
"138",NA,NA,40.614,-116.6809,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.18",3,"EF485674","EF486008","U90-01","41","28","1",0.9917,0.0027,0.0047,0.0013,"Rocky Mtn.","Rocky Mtn."
"139",NA,NA,40.5538,-116.6654,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.17",2,"EF485673","EF486007","U91-01","40","28","1",0.994,0.0015,0.004,0.001,"Rocky Mtn.","Rocky Mtn."
"140",NA,NA,46.5202,-116.6183,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.26",3,"EF485653","EF485987","PI 619455","40","56","2",0.005,0.988,0.0043,0.003,"Columbia","Columbia"
"141",NA,NA,43.3349,-116.6069,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.13",3,"EF485640","EF485974","T-1646","11","56","1",0.756,0.006,0.238,5e-04,"Rocky Mtn.","Rocky Mtn."
"142",NA,NA,41.4025,-116.6053,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.48",3,"EF485701","EF486035","BK-25","41","28","1",0.8413,0.0143,0.1433,0.001,"Rocky Mtn.","Rocky Mtn."
"143",NA,NA,39.9561,-116.6052,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.13",2,"EF485669","EF486003","U97-01","12","56","3",0.008,0.005,0.986,0.001,"Great Basin","Great Basin"
"144","Gund Ranch LECI4","LECI4-1076-2001",39.956133,-116.605184,5650,"Nevada","Lander",2001-09-21,"10 - 15 Deg. F. / 6 - 12","LECI4",2,NA,"Octoploid",NA,"Zone 8",0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"145",NA,NA,39.9488,-116.5475,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.11",2,"EF485667","EF486001","U113-02","41","28","1",0.944,0.015,0.0405,0.001,"Rocky Mtn.","Rocky Mtn."
"146","Bauman Ranch LECI4","LECI4-1058-2003",39.940331,-116.526372,6000,"Nevada","Eureka",2003-07-24,"15 - 20 Deg. F. / 6 - 12","LECI4",2,NA,"Octoploid",NA,"Zone 12",0.1743679163034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"147",NA,NA,41.5205,-116.5001,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.53",2,"-","-","U94-01","36","28","1",0.964,0.011,0.024,0.001,"Rocky Mtn.","Rocky Mtn."
"148",NA,NA,44.8351,-116.4219,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.25",3,"EF485652","EF485986","T-1648","40","56","1",0.789,0.069,0.136,0.006,"Rocky Mtn.","Rocky Mtn."
"149",NA,NA,43.2557,-116.3937,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.09",2,"EF485636","EF485970","U110-01","41","28","1",0.967,0.023,0.0045,0.006,"Rocky Mtn.","Rocky Mtn."
"150",NA,NA,43.9667,-116.3167,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.22",3,"EF485649","EF485983","PI 537353","40","28","1",0.9567,0.0223,0.0207,0.001,"Rocky Mtn.","Rocky Mtn."
"151",NA,NA,40.6381,-116.2436,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.20",2,"EF485676, 77","EF486010, 11","BK-45","36,41","28","1",0.969,0.004,0.0265,0.001,"Rocky Mtn.","Rocky Mtn."
"152",NA,NA,41.2833,-116.1833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.41",3,"EF485695","EF486029","T-37","14","56","3",0.012,0.005,0.982,0.001,"Great Basin","Great Basin"
"153",NA,NA,39.95,-116.1667,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.12",2,"EF485668","EF486002","PI 537355","41","56","3",0.0035,0.015,0.979,0.0025,"Great Basin","Great Basin"
"154","Crescent Valley LECI4","LECI4-2499-2014",40.562444,-116.138692,4980,"Nevada","Eureka",2014-07-31,"10 - 15 Deg. F. / 6 - 12","LECI4",0.5,88,"Octoploid",NA,"Zone 8",0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"155","Upper Queen LECI4","LECI4-1131-2002",40.921623,-116.138329,5990,"Nevada","Elko",2002-07-23,"15 - 20 Deg. F. / 6 - 12","LECI4",2,75,NA,"not tested","Zone 12",0.1743679163034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"156",NA,NA,41.2,-115.9833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.40",2,"EF485694","EF486028","PI 552795","41","28","1",0.986,0.008,0.0045,0.001,"Rocky Mtn.","Rocky Mtn."
"157","Windfall Canyon LECI4","LECI4-2426-2013",39.457135,-115.967539,7404,"Nevada","Eureka",2013-08-16,"15 - 20 Deg. F. / 3 - 6","LECI4",0.25,94,"Tetraploid",NA,"Zone 11",0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 11"
"158",NA,NA,39.5105,-115.9598,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.08",2,"EF485664","EF485998","B19-01","40","28","1",0.9345,0.0295,0.0235,0.0125,"Rocky Mtn.","Rocky Mtn."
"159","Eureka LECI4","LECI4-1070-2001",39.510523,-115.959798,6481,"Nevada","Eureka",2001-08-03,"15 - 20 Deg. F. / 6 - 12","LECI4",2.1,NA,"Tetraploid",NA,"Zone 12",0.18308631211857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"160",NA,NA,39.4667,-115.95,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.04",1,"EF485661","EF485995","PI 552796","41","28","1",0.974,0.005,0.021,0.001,"Rocky Mtn.","Rocky Mtn."
"161","Elko LECI4","LECI4-1068-2001",40.866941,-115.869128,6000,"Nevada","Elko",2001-07-19,"15 - 20 Deg. F. / 6 - 12","LECI4",1.87,NA,"Octoploid","Both","Zone 12",0.163034001743679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 12"
"162",NA,NA,43.3922,-115.8565,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.16",3,"EF485643","EF485977","T-1212","40","56","1",0.701,0.1387,0.1593,0.001,"Rocky Mtn.","Rocky Mtn."
"163",NA,NA,41.5381,-115.8064,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.55",2,"EF485706","EF486040","U115-02","40","28","1",0.9555,0.0035,0.04,0.001,"Rocky Mtn.","Rocky Mtn."
"164",NA,NA,43.55,-115.8,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.18",2,"EF485645","EF485979","PI 618759","40","28","1",0.9915,0.0045,0.003,0.001,"Rocky Mtn.","Rocky Mtn."
"165","West Elko LECI4","LECI4-1141-2014",40.819756,-115.798795,5089,"Nevada","Elko",2014-07-31,"10 - 15 Deg. F. / 6 - 12","LECI4",0.5,93,"Octoploid",NA,"Zone 8",0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"166",NA,NA,42.9417,-115.7501,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.03",3,"EF485630","EF485964","T-1645","44","28","1",0.9767,0.002,0.021,0.001,"Rocky Mtn.","Rocky Mtn."
"167","Ruby Mtns Creek LECI4","LECI4-1118-2003",40.297709,-115.554313,6744,"Nevada","Elko",2003-07-11,"15 - 20 Deg. F. / 3 - 6","LECI4",0.5,NA,NA,"not tested","Zone 11",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 11"
"168",NA,NA,41.5167,-115.4167,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.52",2,"EF485704","EF486038","Acc:333","15","56","3",0.0025,0.002,0.989,0.006,"Great Basin","Great Basin"
"169","Secret Creek LECI4","LECI4-2495-2014",40.871755,-115.323807,5540,"Nevada","Elko",2014-07-31,"10 - 15 Deg. F. / 6 - 12","LECI4",0.5,94,"Tetraploid","ND","Zone 8",0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"170",NA,NA,40.9,-115.2833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.27",3,"EF485683","EF486017","PI 537356","44","56","3",0.0073,0.0047,0.9867,0.001,"Great Basin","Great Basin"
"171",NA,NA,41.0667,-115.2833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.34",3,"EF485689","EF486023","T-30","41","56","3",0.0033,0.0113,0.983,0.002,"Great Basin","Great Basin"
"172","Melendez Ranch LECI4","LECI4-1094-2003",38.925165,-115.173027,6053,"Nevada","White Pine",2003-07-23,"10 - 15 Deg. F. / 6 - 12","LECI4",2,64,"Octoploid",NA,"Zone 8",0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"173","Angel Creek LECI4","LECI4-2442-2014",41.053488,-115.023031,6764,"Nevada","Elko",2014-07-31,"15 - 20 Deg. F. / 3 - 6","LECI4",0.5,91,"Tetraploid",NA,"Zone 11",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 11"
"174",NA,NA,41.1116,-114.9645,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.37",3,"-","-","Acc:393","-","56","3",0.0033,0.0013,0.9907,0.0047,"Great Basin","Great Basin"
"175","Ely LECI4","LECI4-1081-2003",39.261827,-114.936829,6622,"Nevada","White Pine",2003-07-23,"10 - 15 Deg. F. / 6 - 12","LECI4",1,NA,"Octoploid",NA,"Zone 8",0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"176",NA,NA,39.2618,-114.9368,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.01",2,"EF485659","EF485993","Ely","41","56","3",0.041,0.1425,0.8155,0.001,"Great Basin","Great Basin"
"177",NA,NA,41.3156,-114.9061,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.44",2,"EF485697","EF486031","BK-3","41","28","1",0.9775,0.0035,0.014,0.0055,"Rocky Mtn.","Rocky Mtn."
"178",NA,NA,43.3167,-114.8667,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.11",2,"EF485638","EF485972","PI 537350","41","56","1",0.791,0.0305,0.176,0.0025,"Rocky Mtn.","Rocky Mtn."
"179","Wilkins LECI4","LECI4-2440-2014",41.365562,-114.798303,5985,"Nevada","Elko",2014-07-29,"10 - 15 Deg. F. / 6 - 12","LECI4",0.5,86,"Tetraploid",NA,"Zone 8",0.0555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"180","Grasshopper Spring LECI4","LECI4-2416-2014",39.216628,-114.68514,7768,"Nevada","White Pine",2014-08-05,"15 - 20 Deg. F. / 3 - 6","LECI4",0.25,88,"Tetraploid",NA,"Zone 11",0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 11"
"181",NA,NA,40.7315,-114.5725,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.22",2,"EF485680","EF486014","U81-02","30","28","1",0.9815,0.0155,0.002,0.001,"Rocky Mtn.","Rocky Mtn."
"182",NA,NA,41.489,-114.5623,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.50",3,"EF485702","EF486036","U87-02","41","28","3",0.0087,0.0077,0.9823,0.0017,"Great Basin","Great Basin"
"183",NA,NA,43.3268,-114.404,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.12",2,"EF485639","EF485973","U103-01","41","28","1",0.9875,0.005,0.004,0.0035,"Rocky Mtn.","Rocky Mtn."
"184",NA,NA,43.3167,-114.3833,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_ID.10",3,"EF485637","EF485971","PI 564553","40","56","1",0.9883,0.0057,0.0057,0.001,"Rocky Mtn.","Rocky Mtn."
"185",NA,NA,41.0564,-114.3289,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.33",3,"EF485688","EF486022","U92-02","13","28","1",0.9783,0.004,0.016,0.0017,"Rocky Mtn.","Rocky Mtn."
"186","Toano LECI4","LECI4-1129-2002",41.056319,-114.328893,6250,"Nevada","Elko",2002-07-24,"10 - 15 Deg. F. / 6 - 12","LECI4",1,NA,"Tetraploid",NA,"Zone 8",0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 8"
"187",NA,NA,49.8572,-114.2347,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_AB.11",2,"EF485594","EF485928","Bob Creek","30","56","1",0.995,0.002,0.002,0.0015,"Rocky Mtn.","Rocky Mtn."
"188",NA,NA,41.3,-114.1667,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.42",3,"-","-","T-25","-","28","3",0.008,0.0123,0.979,7e-04,"Great Basin","Great Basin"
"189",NA,NA,43.0167,-114.1333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.04",3,"EF485631","EF485965","Acc:384","44","28","1",0.9197,0.01,0.0693,7e-04,"Rocky Mtn.","Rocky Mtn."
"190",NA,NA,41.3088,-114.1173,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_NV.43",3,"EF485696","EF486030","U84-02","41","28","3",0.061,0.0033,0.9353,0.001,"Great Basin","Great Basin"
"191",NA,NA,43.0467,-114.0338,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.05",2,"EF485632","EF485966","U104-01","40","28","1",0.996,0.001,0.002,0.001,"Rocky Mtn.","Rocky Mtn."
"192",NA,NA,49.0169,-114,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.32",2,"EF485615","EF485949",NA,"41","28","1",0.9935,0.0025,0.0015,0.0025,"Rocky Mtn.","Rocky Mtn."
"193",NA,NA,41.3983,-113.8593,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_UT.15",3,"EF485787","EF486121","U66-02","41","56","3",0.19,0.0023,0.8067,0.001,"Great Basin","Great Basin"
"194",NA,NA,49.72,-113.4425,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.10",2,"EF485593","EF485927","Ft.McLeod","40","28","1",0.9775,0.017,0.0045,0.001,"Rocky Mtn.","Rocky Mtn."
"195",NA,NA,43.6057,-113.3255,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.19",3,"EF485646","EF485980","U99-01","41","28","1",0.996,0.002,0.0017,0.001,"Rocky Mtn.","Rocky Mtn."
"196",NA,NA,50.1833,-113,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.15",2,"EF485598","EF485932","Stavely","30","28","1",0.9815,0.0115,0.0055,0.0015,"Rocky Mtn.","Rocky Mtn."
"197",NA,NA,46.1667,-113,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_MT.06",3,"-","-","Acc:352","-","28","1",0.991,0.003,0.005,0.001,"Rocky Mtn.","Rocky Mtn."
"198",NA,NA,46.1008,-112.9336,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_MT.04",2,"-","-","PI 9081627","-","28","1",0.988,0.0075,0.003,0.0015,"Rocky Mtn.","Rocky Mtn."
"199",NA,NA,40.1873,-112.8091,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.12",2,"EF485784","EF486118","U74-01","41","28","1",0.99,0.004,0.0055,0.001,"Rocky Mtn.","Rocky Mtn."
"200",NA,NA,49.7,-112.8,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_Acc636",2,NA,NA,"Acc:636",NA,"28","1",0.9821,0.002,0.003,1e-04,"Rocky Mtn.","Rocky Mtn."
"201",NA,NA,43.4007,-112.71,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.17",2,"EF485644","EF485978","U101-01","40","28","1",0.9955,0.001,0.0025,0.001,"Rocky Mtn.","Rocky Mtn."
"202",NA,NA,43.6667,-112.7,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.21",3,"EF485648","EF485982","Acc:71","40","28","1",0.987,0.008,0.004,0.0013,"Rocky Mtn.","Rocky Mtn."
"203",NA,NA,41.9662,-112.4241,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.21",2,"-","-","U71-02N","-","28","1",0.9885,0.0045,0.006,0.001,"Rocky Mtn.","Rocky Mtn."
"204",NA,NA,41.9662,-112.4241,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.22",3,"EF485792","EF486126","U71-02w","40","28","1",0.9493,0.0067,0.0427,0.0017,"Rocky Mtn.","Rocky Mtn."
"205","Pocatello Valley LECI4","LECI4-1111-2001",41.966159,-112.42406,5300,"Utah","Box Elder",2001-07-22,"15 - 20 Deg. F. / 3 - 6","LECI4",0.5,NA,"Tetraploid",NA,"Zone 11",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zone 11"
"206",NA,NA,41.75,-112.3333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.16",2,"EF485788","EF486122","PI 618755","41","28","1",0.977,0.013,0.009,0.001,"Rocky Mtn.","Rocky Mtn."
"207",NA,NA,41.75,-112.3333,NA,NA,NA,NA,NA,NA,NA,NA,"Octoploid",NA,NA,NA,"Lcin_NV.58",2,"EF485709","EF486043","Acc:381","41","56","3",0.0045,0.0035,0.9905,0.0015,"Great Basin","Great Basin"
"208",NA,NA,39.7997,-112.2651,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.10",3,"EF485782","EF486116","U72-01","41","28","1",0.9763,0.0023,0.0203,7e-04,"Rocky Mtn.","Rocky Mtn."
"209",NA,NA,37.95,-112.0872,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.01",2,"EF485774","EF486108","U80-01","40","28","1",0.993,0.0035,0.003,0.001,"Rocky Mtn.","Rocky Mtn."
"210",NA,NA,49.0833,-112.0833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.31",3,"EF485614","EF485948","Maycrofft","41","28","1",0.995,0.0015,0.0025,0.001,"Rocky Mtn.","Rocky Mtn."
"211",NA,NA,49.7055,-112.0833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.33",2,"EF485616","EF485950","Oldman Dam","40","28","1",0.9645,0.012,0.0205,0.003,"Rocky Mtn.","Rocky Mtn."
"212",NA,NA,41.8333,-111.8333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.17",2,"EF485789","EF486123","Acc:374","41","28","1",0.9955,0.002,0.0025,0.001,"Rocky Mtn.","Rocky Mtn."
"213",NA,NA,41.8333,-111.8333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.18",2,"EF485790","EF486124","PI 564557","41","28","1",0.9905,0.0025,0.0025,0.004,"Rocky Mtn.","Rocky Mtn."
"214",NA,NA,41.8333,-111.8333,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.19",2,"EF485791","EF486125","Acc:376","41","28","1",0.9945,0.0025,0.0025,0.001,"Rocky Mtn.","Rocky Mtn."
"215",NA,NA,42.7146,-111.5608,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.01",3,"EF485629","EF485963",NA,"40","28","1",0.9853,0.0087,0.0047,0.001,"Rocky Mtn.","Rocky Mtn."
"216",NA,NA,42.8669,-111.4525,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_ID.02",2,"-","-","PI 618758","-","28","1",0.9925,0.004,0.0035,0.001,"Rocky Mtn.","Rocky Mtn."
"217",NA,NA,41.0457,-111.3117,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.14",2,"EF485786","EF486120","U69-02","40","28","1",0.981,0.01,0.0075,0.001,"Rocky Mtn.","Rocky Mtn."
"218",NA,NA,41.9966,-111.2617,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.23",2,"EF485793","EF486127","U77-01","40","28","1",0.986,0.005,0.006,0.003,"Rocky Mtn.","Rocky Mtn."
"219",NA,NA,49,-111,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_AB.04",3,"EF485587","EF485921","Writing Stone","40","28","1",0.9757,0.008,0.012,0.0043,"Rocky Mtn.","Rocky Mtn."
"220",NA,NA,39.6167,-110.8667,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.09",4,"EF485781","EF486115","Acc:371","41","28","1",0.9575,0.026,0.0145,0.002,"Rocky Mtn.","Rocky Mtn."
"221",NA,NA,39.9848,-110.6069,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.11",2,"EF485783","EF486117","U68-01","41","28","1",0.959,0.032,0.004,0.005,"Rocky Mtn.","Rocky Mtn."
"222",NA,NA,41.8189,-110.5314,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_WY.02",2,"EF485841","EF486175","PI 618756","41","28","1",0.9945,0.0025,0.0025,0.001,"Rocky Mtn.","Rocky Mtn."
"223",NA,NA,41.8667,-110.4833,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_WY.03",2,"EF485842","EF486176","PI 563864","41","28","1",0.9875,0.002,0.01,0,"Rocky Mtn.","Rocky Mtn."
"224",NA,NA,41.0207,-110.0289,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_WY.01",3,"EF485840","EF486174","PI 9076036","40","28","1",0.9887,0.0027,0.0083,0.001,"Rocky Mtn.","Rocky Mtn."
"225",NA,NA,39.382,-109.3896,NA,NA,NA,NA,NA,NA,NA,NA,"Tetraploid",NA,NA,NA,"Lcin_UT.06",2,"EF485778","EF486112","U73-01","41","28","1",0.9915,0.001,0.0065,0.001,"Rocky Mtn.","Rocky Mtn."
