site_name,site_abbrev,lat,long,plated,n
UNR-KRLA-Dolye-1,DY,40.133711,-120.079417,y,20
UNR-KRLA-Rodeo Creek Rd-1,RC,40.462294,-119.345634,y,20
UNR-KRLA-Sparks-1,SP,39.60687,-119.61818,y,20
UNR-KRLA-Yerington-1,YE,39.039777,-119.243873,y,20
UNR-KRLA-Hwy 6-1 (Tonopah),TO,38.082289,-117.031012,y,19
UNR-KRLA-Pine Grive Flat-1,PG,38.748702,-119.076284,y,20
UNR-KRLA-Mt. Montgomery-1 (Volcanic Hills),VH,37.975491,-118.175838,y,17
UNR-KRLA-Gabbs-1,GA,38.837047,-117.942922,y,13
UNR-KRLA-Gerlach-1,GE,40.752022,-119.284962,y,20
UNR-KRLA-Sylvania Mountains-1,SM,37.466343,-117.830166,y,20
UNR-KRLA2-Jackson Wash-Greenhouse,JW,37.45812111,-117.2372488,n,
UNR-KRLA2-Manhattan-Greenhouse,MA,38.569324,-117.171043,n,
UNR-KRLA2-Coal Canyon-Greenhouse,CC,40.195705,-118.258786,n,
UNR-KRLA2-Duffurena-Greenhouse,DU,41.673756,-118.486103,n,
UNR-KRLA2-Bottle Creek-Greenhouse,BC,40.948074,-118.377919,n,
UNR-KRLA2-Ophir Canyon-Greenhouse,OC,38.941971,-117.206581,n,
East Eureka,EE,39.402435,-115.55,y,20
Lackawanna Springs,LS,39.341846,-114.888222,y,20
South Lund,SL,38.517578,-115.027262,y,20
Seaman Wash,SW,37.742386,-115.120346,y,20
Ballinger Canyon,BA,34.87525,-119.413049,y,20
Kokoweef Peak,KP,35.441553,-115.505354,y,20
Excelsior Mine Road,EM,35.787724,-115.992533,y,20
Desert Tortoise Research Natural Area,DT*,35.192682,-117.882205,y,8
Cuddeback Lake,CL*,35.291504,-117.509692,y,20
Mount Emma,ME,34.505005,-117.993389,y,20
Carrizo Plain,CP,35.208563,-119.696413,y,20
Wickline Canyon,WC,35.935953,-117.920969,y,20
Aberdeen Station,AS,37.010576,-118.251452,y,20
West Bishop,WB,37.348806,-118.480547,y,20
Jackson Wash,JW,37.45812111,-117.2372488,y,20
Stonewall Flats,SF,37.528254,-117.190814,y,20
