gbifID,stateProvince,decimalLatitude,decimalLongitude,year,basisOfRecord
1846546942,Arizona,34.7167,-111.833,1997,PRESERVED_SPECIMEN
3091221804,Arizona,34.717718,-111.797287,1979,PRESERVED_SPECIMEN
2572938213,Arizona,34.72787,-111.99005,2017,PRESERVED_SPECIMEN
3091251393,Arizona,34.734833,-111.9825,2011,PRESERVED_SPECIMEN
1846548372,Arizona,34.734833,-111.9825,2011,PRESERVED_SPECIMEN
2610075366,Arizona,34.739667,-111.908154,1922,PRESERVED_SPECIMEN
3091258250,Arizona,34.7537,-111.9298,1979,PRESERVED_SPECIMEN
2270660830,Arizona,34.7546,-112.013,1992,PRESERVED_SPECIMEN
3398642934,Arizona,34.757442,-112.453781,2021,HUMAN_OBSERVATION
3091236214,Arizona,34.7687,-112.0177,1989,PRESERVED_SPECIMEN
3384333089,Arizona,34.768791,-112.027039,2021,HUMAN_OBSERVATION
3398641952,Arizona,34.769778,-112.026514,2021,HUMAN_OBSERVATION
3355692576,Arizona,34.76978,-112.026444,2021,HUMAN_OBSERVATION
2270660731,Arizona,34.7703,-112.026,1976,PRESERVED_SPECIMEN
3091240819,Arizona,34.774,-111.992,1984,PRESERVED_SPECIMEN
2270671183,Arizona,34.7747,-111.123,1979,PRESERVED_SPECIMEN
2270661334,Arizona,34.7747,-111.123,1979,PRESERVED_SPECIMEN
2610076777,Arizona,34.78036,-111.141636,1979,PRESERVED_SPECIMEN
2270230098,Arizona,34.78036,-111.141636,1979,PRESERVED_SPECIMEN
3337444125,Arizona,34.790928,-112.520821,2021,HUMAN_OBSERVATION
2873733527,Arizona,34.795361,-112.240883,2020,HUMAN_OBSERVATION
3307378375,Arizona,34.798299,-112.236551,2020,HUMAN_OBSERVATION
3091296588,Arizona,34.81105,-111.03256,2013,PRESERVED_SPECIMEN
2270490000,Arizona,34.824002,-112.056526,2013,PRESERVED_SPECIMEN
1847620349,Arizona,34.841839,-111.992653,2018,HUMAN_OBSERVATION
3091240820,Arizona,34.844735,-110.147341,1963,PRESERVED_SPECIMEN
2270659301,Arizona,34.85,-110.14,1963,PRESERVED_SPECIMEN
2270571902,Arizona,34.865265,-112.459846,2012,PRESERVED_SPECIMEN
2430086051,Arizona,34.865267,-112.45985,2012,PRESERVED_SPECIMEN
2430311357,Arizona,34.872229,-114.149396,1884,PRESERVED_SPECIMEN
3384295995,Arizona,34.872447,-110.082108,2021,HUMAN_OBSERVATION
3091240789,Arizona,34.87917,-112.29861,1915,PRESERVED_SPECIMEN
2270661851,Arizona,34.9009,-112.078,1992,PRESERVED_SPECIMEN
2859334297,Arizona,34.902248,-110.158177,1897,PRESERVED_SPECIMEN
1927920204,Arizona,34.902248,-110.158177,1897,PRESERVED_SPECIMEN
3408100272,Arizona,34.90987,-112.458054,2021,HUMAN_OBSERVATION
3355714467,Arizona,34.913077,-109.697999,2021,HUMAN_OBSERVATION
2270660999,Arizona,34.92,-112.36,1999,PRESERVED_SPECIMEN
1846533703,Arizona,34.928125,-112.048085,1974,PRESERVED_SPECIMEN
2270660470,Arizona,34.9494,-112.054,1969,PRESERVED_SPECIMEN
3091221805,Arizona,34.95812,-112.51749,1994,PRESERVED_SPECIMEN
3091221803,Arizona,34.966884,-112.37556,1972,PRESERVED_SPECIMEN
3091240817,Arizona,35.00028,-111.66667,1962,PRESERVED_SPECIMEN
3091267659,Arizona,35.01296,-109.79899,1998,PRESERVED_SPECIMEN
3091273675,Arizona,35.0279,-110.63002,2011,PRESERVED_SPECIMEN
1929368016,Arizona,35.03,-111.03,1998,PRESERVED_SPECIMEN
2270662041,Arizona,35.031,-109.996,1981,PRESERVED_SPECIMEN
2270661016,Arizona,35.031,-109.801,1980,PRESERVED_SPECIMEN
3456121009,Arizona,35.032387,-111.023575,2021,HUMAN_OBSERVATION
3415623006,Arizona,35.032433,-111.023141,2021,HUMAN_OBSERVATION
2212730912,Arizona,35.0333,-111.033,1998,PRESERVED_SPECIMEN
1453318984,Arizona,35.036673,-109.798651,2016,HUMAN_OBSERVATION
1640112070,Arizona,35.037953,-109.799767,2017,HUMAN_OBSERVATION
2429533676,Arizona,35.040047,-109.800437,2019,HUMAN_OBSERVATION
3415654342,Arizona,35.047037,-109.791825,2021,HUMAN_OBSERVATION
2814243105,Arizona,35.079548,-109.520164,2020,HUMAN_OBSERVATION
2814369713,Arizona,35.07995,-109.72215,2020,HUMAN_OBSERVATION
3802300316,Arizona,35.080785,-109.78499,2019,HUMAN_OBSERVATION
1899796488,Arizona,35.08214,-109.75988,2018,HUMAN_OBSERVATION
1931477857,Arizona,35.084733,-109.753017,2018,HUMAN_OBSERVATION
1846494677,Arizona,35.09508,-114.32743,1970,PRESERVED_SPECIMEN
3355789558,Arizona,35.105515,-111.033508,2021,HUMAN_OBSERVATION
1944414632,Arizona,35.109634,-109.76667,2018,HUMAN_OBSERVATION
3398976321,Arizona,35.11345,-111.097703,2021,HUMAN_OBSERVATION
3399160334,Arizona,35.113678,-111.098755,2021,HUMAN_OBSERVATION
3399390373,Arizona,35.113761,-111.099097,2021,HUMAN_OBSERVATION
3399434314,Arizona,35.115322,-111.095558,2021,HUMAN_OBSERVATION
3398957284,Arizona,35.115567,-111.096222,2021,HUMAN_OBSERVATION
3399437392,Arizona,35.115978,-111.097114,2021,HUMAN_OBSERVATION
3399475357,Arizona,35.116014,-111.097047,2021,HUMAN_OBSERVATION
3399447341,Arizona,35.116036,-111.095908,2021,HUMAN_OBSERVATION
3399268322,Arizona,35.116506,-111.096786,2021,HUMAN_OBSERVATION
2270667092,Arizona,35.15,-112.45,1941,PRESERVED_SPECIMEN
2573374550,Arizona,35.152288,-109.877056,1963,PRESERVED_SPECIMEN
2270587261,Arizona,35.154,-113.707,1998,PRESERVED_SPECIMEN
3091295848,Arizona,35.1617,-109.8896,1981,PRESERVED_SPECIMEN
3091240790,Arizona,35.166667,-111.116667,1995,PRESERVED_SPECIMEN
