well_plate,cell_location,sample_ID,
KRLA_2,G6,CP_14,
KRLA_2,G7,CP_15,
KRLA_2,G8,CP_16,
KRLA_2,G9,CP_17,
KRLA_2,G10,CP_18,
KRLA_2,G11,CP_19,
KRLA_2,G12,EMPTY,
KRLA_2,H1,KP_20,
KRLA_2,H2,EM_12,
KRLA_2,H3,SL_04,
KRLA_2,H4,SL_16,
KRLA_2,H5,WB_16,
KRLA_2,H6,CP_08,
KRLA_2,H7,CP_20,
KRLA_2,H8,WC_01,
KRLA_2,H9,WC_02,
KRLA_2,H10,WC_03,
KRLA_2,H11,WC_04,
KRLA_2,H12,EMPTY,
KRLA_3,A1,JW_09,0.042
KRLA_3,A2,JW_10,0.031
KRLA_3,A3,JW_11,0.028
KRLA_3,A4,JW_12,0.028
KRLA_3,A5,JW_13,0.015
KRLA_3,A6,JW_14,0.025
KRLA_3,A7,JW_15,0.034
KRLA_3,A8,JW_16,0.027
KRLA_3,A9,JW_17,0.041
KRLA_3,A10,JW_18,0.025
KRLA_3,A11,JW_19,0.022
KRLA_3,A12,JW_20,
KRLA_3,B1,SF_01,0.035
KRLA_3,B2,SF_02,
KRLA_3,B3,SF_03,
KRLA_3,B4,SF_04,
KRLA_3,B5,SF_05,
KRLA_3,B6,SF_06,
KRLA_3,B7,SF_07,
KRLA_3,B8,SF_08,
KRLA_3,B9,SF_09,0.04
KRLA_3,B10,SF_10,
KRLA_3,B11,SF_11,0.016
KRLA_3,B12,SF_12,0.017
KRLA_3,C1,SF_13,0.029
KRLA_3,C2,SF_14,0.024
KRLA_3,C3,SF_15,0.022
KRLA_3,C4,SF_16,0.016
KRLA_3,C5,SF_17,0.019
KRLA_3,C6,SF_18,0.03
KRLA_3,C7,SF_19,0.012
KRLA_3,C8,SF_20,0.031
KRLA_3,C9,SP_01,0.035
KRLA_3,C10,SP_02,0.03
KRLA_3,C11,SP_03,0.041
KRLA_3,C12,SP_04,0.02
KRLA_3,D1,SP_05,0.022
KRLA_3,D2,SP_06,0.015
KRLA_3,D3,SP_07,
KRLA_3,D4,SP_08,0.028
KRLA_3,D5,SP_09,
KRLA_3,D6,SP_10,0.036
KRLA_3,D7,SP_11,0.017
KRLA_3,D8,SP_12,0.035
KRLA_3,D9,SP_13,0.03
KRLA_3,D10,SP_14,0.021
KRLA_3,D11,SP_15,
KRLA_3,D12,SP_16,0.21
KRLA_3,E1,SP_17,
KRLA_3,E2,SP_18,
KRLA_3,E3,SP_19,
KRLA_3,E4,SP_20,
KRLA_3,E5,YE_01,0.036
KRLA_3,E6,YE_02,0.019
KRLA_3,E7,YE_03,0.006
KRLA_3,E8,YE_04,0.026
KRLA_3,E9,YE_05,0.007
KRLA_3,E10,YE_06,0.021
KRLA_3,E11,YE_07,0.027
KRLA_3,E12,EMPTY,
KRLA_3,F1,YE_08,0.013
KRLA_3,F2,YE_09,0.01
KRLA_3,F3,YE_10,0.028
KRLA_3,F4,YE_11,0.017
KRLA_3,F5,YE_12,
KRLA_3,F6,YE_13,0.012
KRLA_3,F7,YE_14,
KRLA_3,F8,YE_15,0.039
KRLA_3,F9,YE_16,0.028
KRLA_3,F10,YE_17,0.018
KRLA_3,F11,YE_18,0.022
KRLA_3,F12,EMPTY,
KRLA_3,G1,YE_19,0.014
KRLA_3,G2,YE_20,0.018
KRLA_3,G3,DY_01,0.026
KRLA_3,G4,DY_02,0.023
KRLA_3,G5,DY_03,0.018
KRLA_3,G6,DY_04,0.011
KRLA_3,G7,DY_05,0.014
KRLA_3,G8,DY_06,0.028
KRLA_3,G9,DY_07,0.029
KRLA_3,G10,DY_08,0.012
KRLA_3,G11,DY_09,0.014
KRLA_3,G12,EMPTY,
KRLA_3,H1,DY_10,0.026
KRLA_3,H2,DY_11,0.019
KRLA_3,H3,DY_12,0.015
KRLA_3,H4,DY_13,0.024
KRLA_3,H5,DY_14,0.022
KRLA_3,H6,DY_15,0.023
