2	2	80	332452
2	2	82	368943
2	2	84	409651
2	2	94	710081
2	2	96	944927
2	4	82	220430
2	6	80	165677
2	6	82	182199
2	6	84	201378
2	6	86	217497
2	6	88	236412
2	6	90	266262
2	6	92	307042
2	6	94	336220
2	6	96	429082
2	6	98	844801
2	8	80	150410
2	8	82	164703
2	8	84	181496
2	8	86	195557
2	8	88	211784
2	8	90	237303
2	8	92	272322
2	8	94	297414
2	8	96	374878
2	8	98	677463
4	4	80	153806
4	4	82	168392
4	4	86	199050
4	4	88	215390
4	4	90	241673
4	4	92	278297
4	4	94	304580
4	4	96	387824
4	4	98	754052
4	6	80	135114
4	6	82	147122
4	6	84	160859
4	6	86	172384
4	6	88	185481
4	6	90	206640
4	6	92	236220
4	6	94	257337
4	6	96	321689
4	6	98	551507
4	8	80	125292
4	8	82	136015
4	8	84	148130
4	8	86	158222
4	8	88	169639
4	8	90	188190
4	8	92	213701
4	8	94	232039
4	8	96	286853
4	8	98	458014
6	2	84	206737
6	2	86	222431
6	2	88	241014
6	2	90	271744
6	2	92	314354
6	2	94	345283
6	2	98	998125
6	4	80	129282
6	4	82	140428
6	4	84	152917
6	4	86	163433
6	4	88	175252
6	4	90	194760
6	4	92	222103
6	4	94	241796
6	4	96	302028
6	4	98	520492
6	6	80	116215
6	6	82	125677
6	6	84	136105
6	6	86	144962
6	6	88	154743
6	6	90	170632
6	6	92	192751
6	6	94	208635
6	6	96	256206
6	6	98	399307
6	8	80	108682
6	8	82	117268
6	8	84	126522
6	8	86	134443
6	8	88	143125
6	8	90	156981
6	8	92	176354
6	8	94	190159
6	8	96	231055
6	8	98	341773
8	2	80	141783
8	2	82	154160
8	2	84	168102
8	2	86	179773
8	2	88	193360
8	2	90	215812
8	2	92	247566
8	2	94	270280
8	2	96	343729
8	2	98	670915
8	4	80	112095
8	4	82	120911
8	4	84	130538
8	4	86	138572
8	4	88	147578
8	4	90	162298
8	4	92	183003
8	4	94	198022
8	4	96	242717
8	4	98	381038
8	6	80	101480
8	6	82	109062
8	6	84	117216
8	6	86	124076
8	6	88	131396
8	6	90	143429
8	6	92	160419
8	6	94	172390
8	6	96	208163
8	6	98	303827
8	8	80	95344
8	8	82	102124
8	8	84	109411
8	8	86	115442
8	8	88	121879
8	8	90	132348
8	8	92	147051
8	8	94	157469
8	8	96	188326
8	8	98	265041
