param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,329.59,1.139
q_ind_1_pop_0,10980.87,1.000
q_ind_2_pop_0,10756.89,1.000
q_ind_3_pop_0,13029.83,1.000
q_ind_4_pop_0,10680.23,1.000
q_ind_5_pop_0,2347.65,1.002
q_ind_6_pop_0,11192.97,1.000
q_ind_7_pop_0,11932.77,1.000
q_ind_8_pop_0,9940.40,1.000
q_ind_9_pop_0,4936.47,1.001
q_ind_10_pop_0,12278.53,1.000
q_ind_11_pop_0,2032.20,1.004
q_ind_12_pop_0,2919.12,1.003
q_ind_13_pop_0,2365.88,1.004
q_ind_14_pop_0,1370.92,1.133
q_ind_15_pop_0,515.97,1.003
q_ind_16_pop_0,149.14,1.031
q_ind_17_pop_0,1458.25,1.001
q_ind_18_pop_0,1659.22,1.001
q_ind_19_pop_0,2.10,3.074
q_ind_20_pop_0,9.20,1.478
q_ind_21_pop_0,2.07,4.358
q_ind_22_pop_0,1129.25,1.043
q_ind_23_pop_0,1995.60,1.017
q_ind_24_pop_0,2037.48,1.035
q_ind_25_pop_0,1947.22,1.002
q_ind_26_pop_0,1695.37,1.071
q_ind_27_pop_0,1620.29,1.008
q_ind_28_pop_0,1383.68,1.066
q_ind_29_pop_0,2326.07,1.013
q_ind_30_pop_0,2133.34,1.004
q_ind_31_pop_0,1652.14,1.006
q_ind_32_pop_0,781.22,1.093
q_ind_33_pop_0,2125.82,1.001
q_ind_34_pop_0,397.78,1.184
q_ind_35_pop_0,938.95,1.102
q_ind_36_pop_0,600.52,1.001
q_ind_37_pop_0,332.72,1.005
q_ind_38_pop_0,109.28,1.235
q_ind_39_pop_0,371.19,1.002
q_ind_40_pop_0,8139.31,1.000
q_ind_41_pop_0,5481.11,1.001
q_ind_42_pop_0,7327.92,1.001
q_ind_43_pop_0,1949.24,1.009
q_ind_44_pop_0,1546.28,1.078
q_ind_45_pop_0,913.30,1.082
q_ind_46_pop_0,1277.84,1.069
q_ind_47_pop_0,1236.91,1.013
q_ind_48_pop_0,1740.34,1.002
q_ind_49_pop_0,394.08,1.012
q_ind_50_pop_0,2676.57,1.001
q_ind_51_pop_0,350.06,1.006
q_ind_52_pop_0,856.39,1.017
q_ind_53_pop_0,157.53,1.048
q_ind_54_pop_0,1231.92,1.015
q_ind_55_pop_0,732.34,1.036
q_ind_56_pop_0,9371.09,1.000
q_ind_57_pop_0,6747.28,1.000
q_ind_58_pop_0,12205.17,1.000
q_ind_59_pop_0,7167.89,1.001
q_ind_60_pop_0,8292.91,1.000
q_ind_61_pop_0,3491.30,1.001
q_ind_62_pop_0,12484.51,1.000
q_ind_63_pop_0,1383.37,1.003
q_ind_64_pop_0,3745.72,1.000
q_ind_65_pop_0,6962.13,1.000
q_ind_66_pop_0,7307.75,1.000
q_ind_67_pop_0,604.56,1.001
q_ind_68_pop_0,6228.53,1.000
q_ind_69_pop_0,211.00,1.013
q_ind_70_pop_0,8680.20,1.000
q_ind_71_pop_0,500.79,1.003
q_ind_72_pop_0,5062.95,1.000
q_ind_73_pop_0,5784.94,1.000
q_ind_74_pop_0,12074.64,1.000
q_ind_75_pop_0,11638.18,1.000
q_ind_76_pop_0,6950.39,1.000
q_ind_77_pop_0,1275.05,1.068
q_ind_78_pop_0,10752.16,1.000
q_ind_79_pop_0,5213.58,1.000
q_ind_80_pop_0,12163.05,1.000
q_ind_81_pop_0,10662.62,1.000
q_ind_82_pop_0,2497.48,1.022
q_ind_83_pop_0,1532.69,1.036
q_ind_84_pop_0,4644.69,1.001
q_ind_85_pop_0,2176.47,1.014
q_ind_86_pop_0,8868.05,1.000
q_ind_87_pop_0,3823.19,1.000
q_ind_88_pop_0,1769.00,1.004
q_ind_89_pop_0,8464.75,1.000
q_ind_90_pop_0,1285.01,1.002
q_ind_91_pop_0,5744.42,1.000
q_ind_92_pop_0,6177.41,1.000
q_ind_93_pop_0,7337.43,1.000
q_ind_94_pop_0,1214.27,1.004
q_ind_95_pop_0,317.08,1.013
q_ind_96_pop_0,154.20,1.037
q_ind_97_pop_0,1724.23,1.031
q_ind_98_pop_0,1393.57,1.011
q_ind_99_pop_0,525.49,1.061
q_ind_100_pop_0,371.50,1.018
q_ind_101_pop_0,743.97,1.005
q_ind_102_pop_0,67.25,1.264
q_ind_103_pop_0,485.05,1.185
q_ind_104_pop_0,452.77,1.070
q_ind_105_pop_0,1520.19,1.043
q_ind_106_pop_0,851.98,1.027
q_ind_107_pop_0,1350.64,1.040
q_ind_108_pop_0,845.22,1.089
q_ind_109_pop_0,1118.48,1.072
q_ind_110_pop_0,10450.02,1.000
q_ind_111_pop_0,1844.50,1.026
q_ind_112_pop_0,10792.79,1.000
q_ind_113_pop_0,9301.16,1.000
q_ind_114_pop_0,7709.16,1.000
q_ind_115_pop_0,2707.56,1.011
q_ind_116_pop_0,6875.11,1.000
q_ind_117_pop_0,1919.84,1.000
q_ind_118_pop_0,614.36,1.004
q_ind_119_pop_0,830.86,1.002
q_ind_120_pop_0,249.74,1.004
q_ind_121_pop_0,722.39,1.002
q_ind_122_pop_0,698.92,1.002
q_ind_123_pop_0,142.92,1.010
q_ind_124_pop_0,493.14,1.029
q_ind_125_pop_0,1989.43,1.009
q_ind_126_pop_0,126.77,1.052
q_ind_127_pop_0,463.28,1.001
q_ind_128_pop_0,120.69,1.044
q_ind_129_pop_0,1175.47,1.098
q_ind_130_pop_0,238.84,1.006
q_ind_131_pop_0,8.17,1.365
q_ind_132_pop_0,1677.55,1.048
q_ind_133_pop_0,2053.02,1.025
q_ind_134_pop_0,225.63,1.078
q_ind_135_pop_0,2335.65,1.006
q_ind_136_pop_0,297.71,1.021
q_ind_137_pop_0,2501.71,1.008
q_ind_138_pop_0,777.15,1.000
q_ind_139_pop_0,512.79,1.002
q_ind_140_pop_0,2499.28,1.016
q_ind_141_pop_0,1433.03,1.050
q_ind_142_pop_0,1487.50,1.002
q_ind_143_pop_0,2160.61,1.015
q_ind_144_pop_0,432.77,1.008
q_ind_145_pop_0,715.85,1.005
q_ind_146_pop_0,349.11,1.007
q_ind_147_pop_0,149.46,1.036
q_ind_148_pop_0,432.60,1.007
q_ind_0_pop_1,147.04,1.045
q_ind_1_pop_1,9082.97,1.000
q_ind_2_pop_1,9317.37,1.000
q_ind_3_pop_1,11778.30,1.000
q_ind_4_pop_1,10988.26,1.000
q_ind_5_pop_1,1089.43,1.001
q_ind_6_pop_1,11411.77,1.000
q_ind_7_pop_1,9681.85,1.000
q_ind_8_pop_1,9839.50,1.000
q_ind_9_pop_1,7299.81,1.000
q_ind_10_pop_1,10192.05,1.000
q_ind_11_pop_1,68.31,1.082
q_ind_12_pop_1,57.03,1.277
q_ind_13_pop_1,147.84,1.041
q_ind_14_pop_1,182.27,1.155
q_ind_15_pop_1,963.01,1.029
q_ind_16_pop_1,942.95,1.026
q_ind_17_pop_1,412.01,1.010
q_ind_18_pop_1,652.26,1.020
q_ind_19_pop_1,11.24,1.200
q_ind_20_pop_1,239.94,1.020
q_ind_21_pop_1,37.68,1.173
q_ind_22_pop_1,109.80,1.045
q_ind_23_pop_1,1852.57,1.000
q_ind_24_pop_1,253.61,1.009
q_ind_25_pop_1,145.44,1.073
q_ind_26_pop_1,975.21,1.002
q_ind_27_pop_1,1044.85,1.005
q_ind_28_pop_1,759.47,1.001
q_ind_29_pop_1,30.27,1.153
q_ind_30_pop_1,736.50,1.041
q_ind_31_pop_1,673.98,1.021
q_ind_32_pop_1,87.79,1.014
q_ind_33_pop_1,1242.31,1.016
q_ind_34_pop_1,1112.15,1.003
q_ind_35_pop_1,201.85,1.019
q_ind_36_pop_1,1546.90,1.004
q_ind_37_pop_1,178.02,1.005
q_ind_38_pop_1,152.15,1.018
q_ind_39_pop_1,183.30,1.017
q_ind_40_pop_1,6640.17,1.000
q_ind_41_pop_1,4121.39,1.000
q_ind_42_pop_1,5960.63,1.000
q_ind_43_pop_1,1954.53,1.007
q_ind_44_pop_1,826.28,1.010
q_ind_45_pop_1,43.76,1.090
q_ind_46_pop_1,161.81,1.005
q_ind_47_pop_1,946.25,1.004
q_ind_48_pop_1,142.21,1.076
q_ind_49_pop_1,395.55,1.012
q_ind_50_pop_1,120.39,1.020
