"Pop","ID","All","Trail","Dist","Site","Side","Lat","Long","DensoAvg","C","N","C_N_Ratio","PC1","PC2","PC3","PC4","PC5"
"STR1050","2","STR1050_2","STR","1050","LS","L",10.43785997,-84.01250398,70,2.47,0.295,8.3,19.344195677893,-7.56663641513981,-18.2038560981935,19.4355101734969,-8.75969502573475
"STR1050","3","STR1050_3","STR","1050","LS","L",10.43785997,-84.01250398,70,2.47,0.295,8.3,15.309723582473,-3.27382925255775,-21.868676766794,18.0212249567063,-10.4934605753943
"STR1150","1","STR1150_1","STR","1150","LS","L",10.438239,-84.01326799,90.25,2.21,0.27,8.2,9.30803830239652,2.14475401595782,-7.59955808195075,3.05719898853978,-25.1798964245058
"STR1150","2","STR1150_2","STR","1150","LS","L",10.438239,-84.01326799,90.25,2.21,0.27,8.2,2.06540609869813,-7.73086609771612,-24.4230080864449,-6.17176787694756,-11.4311880160346
"STR1200","1","STR1200_1","STR","1200","LS","B",10.43848501,-84.01369203,94,1.885,0.24,7.85,24.6276810326095,1.5974611146747,-15.5264414090259,14.5043878480465,-6.45874772975066
"STR1200","2","STR1200_2","STR","1200","LS","B",10.43848501,-84.01369203,94,1.885,0.24,7.85,27.0753485076116,-10.8000199441682,-23.2035486875158,12.7457117813409,-1.80747546350589
"STR1200","3","STR1200_3","STR","1200","LS","B",10.43848501,-84.01369203,94,1.885,0.24,7.85,17.0935123171182,-10.7207910505632,-35.8058112879103,14.9544205746565,-4.41478590599574
"STR1350","1","STR1350_1","STR","1350","LS","R",10.43843304,-84.01507001,94.75,2.116666667,0.26,8.1,16.184955332249,3.93428576690454,-20.3064125103028,12.1360095843016,-13.8395665744033
"STR1350","2","STR1350_2","STR","1350","LS","R",10.43843304,-84.01507001,94.75,2.116666667,0.26,8.1,2.09826017925023,-12.2743660553055,-10.2183311099687,-2.34028790455285,-10.5584486422866
"STR1350","3","STR1350_3","STR","1350","LS","R",10.43843304,-84.01507001,94.75,2.116666667,0.26,8.1,21.2225902321303,-6.41098695295358,-24.4010472061495,25.6353347322339,14.4032618313689
"STR1450","1","STR1450_1","STR","1450","LS","R",10.43822299,-84.01599797,93.75,1.705,0.21,8.15,-4.99802436754438,-7.79759001300735,-15.6171704295638,-3.55002098377278,-5.11362451961409
"STR1450","2","STR1450_2","STR","1450","LS","R",10.43822299,-84.01599797,93.75,1.705,0.21,8.15,-20.4933123087358,-17.3253378694576,12.9539155728422,-26.6099309917995,-9.0624070946384
"STR1450","3","STR1450_3","STR","1450","LS","R",10.43822299,-84.01599797,93.75,1.705,0.21,8.15,4.24065223791699,-5.74751473427824,-35.4274134890497,20.9050427268303,-0.0727611403910626
"STR1700","1","STR1700_1","STR","1700","LS","L",10.43774304,-84.01807903,57,1.76,0.21,8.4,-9.89772019613807,-9.07404529946925,-25.4205816936266,18.2174822036788,2.43385313273388
"STR1700","2","STR1700_2","STR","1700","LS","L",10.43774304,-84.01807903,57,1.76,0.21,8.4,-9.09654739299043,-9.54189349490831,-24.2404641145938,17.9833746838211,4.58638249631267
"STR2050","1","STR2050_1","STR","2050","LS","R",10.43569199,-84.02032798,90.5,2.34,0.27,8.7,9.58682341589789,-11.4306088930716,-55.6292823469251,112.67645123421,96.4166097212431
"STR2050","2","STR2050_2","STR","2050","LS","R",10.43569199,-84.02032798,90.5,2.34,0.27,8.7,0.749574731704461,-5.64880409788368,-5.87113842878374,5.40032161120865,9.57629138720816
"STR2050","3","STR2050_3","STR","2050","LS","R",10.43569199,-84.02032798,90.5,2.34,0.27,8.7,9.8131030357845,-12.33479730638,-55.6144476300426,114.169827918882,98.0061092679012
"STR2050","4","STR2050_4","STR","2050","LS","R",10.43569199,-84.02032798,90.5,2.34,0.27,8.7,9.3947496849302,-11.927106980464,-57.3301275758713,114.900079929595,98.6957647031768
"STR2050","5","STR2050_5","STR","2050","LS","R",10.43569199,-84.02032798,90.5,2.34,0.27,8.7,8.94943138377669,-12.215638641782,-52.7953134643847,107.204673077134,90.8913163365251
"STR2450","1","STR2450_1","STR","2450","LS","R",10.43370296,-84.02285102,87.75,3.84,0.37,10.4,-1.20775131432668,-6.31167582353418,-10.9122149811409,2.80415850120719,9.51797069592168
"STR2450","2","STR2450_2","STR","2450","LS","R",10.43370296,-84.02285102,87.75,3.84,0.37,10.4,9.86534904927358,-11.4398564500539,-55.9103334211597,112.654885632669,96.1032556036658
"STR450","1","STR450_1","STR","450","LS","B",10.43455096,-84.008352,89.5,3.413333333,0.39,8.733333333,2.94770080203293,-25.7543265274398,-21.1567626648176,-0.600923827770908,-14.7439345270868
"STR450","2","STR450_2","STR","450","LS","B",10.43455096,-84.008352,89.5,3.413333333,0.39,8.733333333,12.1764444957763,-9.39752867640936,-16.9181021034439,-21.0080859276222,-11.6555603492851
"STR450","3","STR450_3","STR","450","LS","B",10.43455096,-84.008352,89.5,3.413333333,0.39,8.733333333,9.53735816500543,-13.2255497295508,-20.4017869356985,-3.23985234113866,-8.16041027116349
"STR550","1","STR550_1","STR","550","LS","B",10.43539703,-84.00892298,78.25,2.9,0.336666667,8.4,7.96329520408471,-10.4868683624199,-27.6839183536895,-15.4291105732103,-19.8020315475224
"STR550","2","STR550_2","STR","550","LS","B",10.43539703,-84.00892298,78.25,2.9,0.336666667,8.4,-2.75582352383749,-18.2839004308845,-23.1516243811019,-17.6570524149148,-21.015450593296
"STR550","3","STR550_3","STR","550","LS","B",10.43539703,-84.00892298,78.25,2.9,0.336666667,8.4,0.868726412176241,-22.0519134103115,-16.5894955006352,-3.13543254595985,-22.1423929525706
"STR650","1","STR650_1","STR","650","LS","B",10.43615702,-84.00923403,88.5,2.75,0.305,9.25,1.72501343625609,-16.0654315172829,-20.1372657499442,-19.1941373244631,-16.2674707548969
"STR650","2","STR650_2","STR","650","LS","B",10.43615702,-84.00923403,88.5,2.75,0.305,9.25,15.0135269235524,-3.95859155990329,-13.98701958023,-7.97649230264562,-20.8088126321995
"STR650","3","STR650_3","STR","650","LS","B",10.43615702,-84.00923403,88.5,2.75,0.305,9.25,9.68935751225139,-13.0692352837843,-37.1042394564476,17.5234337209355,-23.7138230341925
"STR750","1","STR750_1","STR","750","LS","B",10.436845,-84.00989201,85.875,1.575,0.17,9.1,13.4130516620649,0.0897958853039881,-38.7465407865879,5.75651136846503,-33.9252799722326
"STR750","2","STR750_2","STR","750","LS","B",10.436845,-84.00989201,85.875,1.575,0.17,9.1,-5.15313958858222,-22.0608559773607,-25.2275829456435,1.76240370905849,1.42361276687996
"STR750","3","STR750_3","STR","750","LS","B",10.436845,-84.00989201,85.875,1.575,0.17,9.1,13.9392780214064,-0.0921197832935508,-39.0118326815171,5.53675941306205,-34.2291586211561
"STR850","1","STR850_1","STR","850","LS","L",10.437104,-84.01084797,89.75,4.47,0.5,8.9,-12.8188361581198,-2.78562144228744,-12.3267006821497,0.938497873596211,-23.5292341121719
"STR850","2","STR850_2","STR","850","LS","L",10.437104,-84.01084797,89.75,4.47,0.5,8.9,13.883062704862,-11.4397422609584,-33.5585367604318,24.388047292875,-1.09433991346469
"STR850","3","STR850_3","STR","850","LS","L",10.437104,-84.01084797,89.75,4.47,0.5,8.9,-4.40282621382122,10.0044900933556,-29.811599312033,16.1219388344167,-35.8833530895661
"STR950","1","STR950_1","STR","950","LS","L",10.43745001,-84.01152296,71.25,1.38,0.19,7.3,7.63115988974583,-1.15290720692998,-16.5069062979602,23.5844724159899,5.13876139851227
"STR950","2","STR950_2","STR","950","LS","L",10.43745001,-84.01152296,71.25,1.38,0.19,7.3,1.99608023074872,3.96448912905912,-20.3974797539284,-6.5196873478387,-32.6884600743237
"SURA150","1","SURA150_1","SURA","150","LS","B",10.42949801,-84.00798102,93.25,3.11,0.375,8.3,-6.22219266349079,-26.6913064405412,-24.0206839133087,-27.5768446222981,-4.75619962466799
"SURA150","2","SURA150_2","SURA","150","LS","B",10.42949801,-84.00798102,93.25,3.11,0.375,8.3,3.40902086517579,-2.35203258739537,-8.26967604667974,-15.0417869597495,4.63430634144879
"SURA150","3","SURA150_3","SURA","150","LS","B",10.42949801,-84.00798102,93.25,3.11,0.375,8.3,-0.716433004791335,-24.339954186866,-17.4991124385902,-28.9370664059654,6.86145736742658
"SURA250","1","SURA250_1","SURA","250","LS","B",10.42995902,-84.00886699,92.75,3.07,0.365,8.4,-12.0102409124513,-7.26944925326927,-2.60976416267609,-35.9066459347328,-17.2638681461523
"SURA250","2","SURA250_2","SURA","250","LS","B",10.42995902,-84.00886699,92.75,3.07,0.365,8.4,0.0532267374801518,-21.8926791080685,-14.0037655880744,-1.82450182018975,-15.2851989504385
"SURA250","3","SURA250_3","SURA","250","LS","B",10.42995902,-84.00886699,92.75,3.07,0.365,8.4,-9.25669434772465,-24.7579266208695,-0.203971508015291,-23.3254386374306,-5.0832104802161
"SURA500","1","SURA500_1","SURA","500","LS","B",10.42921999,-84.01020801,81.125,2.43,0.28,8.8,-14.1270772199131,-1.35987095985189,-13.7874106950426,-12.7897789867271,1.70674978655172
