param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.029183,0.029465,0.007306,0.048559
q_ind_1_pop_0,0.000026,0.000000,0.000000,0.000250
q_ind_2_pop_0,0.000028,0.000000,0.000000,0.000280
q_ind_3_pop_0,0.000019,0.000000,0.000000,0.000187
q_ind_4_pop_0,0.000022,0.000000,0.000000,0.000214
q_ind_5_pop_0,0.000222,0.000001,0.000000,0.002120
q_ind_6_pop_0,0.000023,0.000000,0.000000,0.000221
q_ind_7_pop_0,0.000023,0.000000,0.000000,0.000231
q_ind_8_pop_0,0.000024,0.000000,0.000000,0.000236
q_ind_9_pop_0,0.000033,0.000000,0.000000,0.000320
q_ind_10_pop_0,0.000022,0.000000,0.000000,0.000215
q_ind_11_pop_0,0.000044,0.000000,0.000000,0.000432
q_ind_12_pop_0,0.000075,0.000000,0.000000,0.000759
q_ind_13_pop_0,0.000044,0.000000,0.000000,0.000434
q_ind_14_pop_0,0.056495,0.056501,0.037384,0.075267
q_ind_15_pop_0,0.060413,0.060275,0.042172,0.079275
q_ind_16_pop_0,0.091783,0.091736,0.070582,0.113174
q_ind_17_pop_0,0.039337,0.039430,0.020916,0.057887
q_ind_18_pop_0,0.076465,0.076369,0.057704,0.095530
q_ind_19_pop_0,0.001673,0.000015,0.000000,0.014197
q_ind_20_pop_0,0.001519,0.000020,0.000000,0.012583
q_ind_21_pop_0,0.002122,0.000024,0.000000,0.016623
q_ind_22_pop_0,0.010650,0.008376,0.000000,0.033650
q_ind_23_pop_0,0.105616,0.105509,0.087607,0.124164
q_ind_24_pop_0,0.002146,0.000038,0.000000,0.015642
q_ind_25_pop_0,0.022412,0.023234,0.000000,0.043079
q_ind_26_pop_0,0.000294,0.000001,0.000000,0.002932
q_ind_27_pop_0,0.049051,0.049101,0.031727,0.066613
q_ind_28_pop_0,0.000453,0.000002,0.000000,0.004619
q_ind_29_pop_0,0.024558,0.024830,0.002325,0.042699
q_ind_30_pop_0,0.058822,0.058883,0.038910,0.078569
q_ind_31_pop_0,0.076615,0.076595,0.054428,0.098885
q_ind_32_pop_0,0.025660,0.025819,0.004945,0.045065
q_ind_33_pop_0,0.069926,0.069884,0.050476,0.089179
q_ind_34_pop_0,0.087061,0.087088,0.067647,0.105924
q_ind_35_pop_0,0.002001,0.000032,0.000000,0.014307
q_ind_36_pop_0,0.000134,0.000001,0.000000,0.001333
q_ind_37_pop_0,0.002932,0.000067,0.000000,0.017562
q_ind_38_pop_0,0.005528,0.000577,0.000000,0.025690
q_ind_39_pop_0,0.001912,0.000023,0.000000,0.015728
q_ind_40_pop_0,0.000037,0.000000,0.000000,0.000357
q_ind_41_pop_0,0.000049,0.000000,0.000000,0.000480
q_ind_42_pop_0,0.000049,0.000000,0.000000,0.000481
q_ind_43_pop_0,0.082697,0.082612,0.065016,0.100861
q_ind_44_pop_0,0.000295,0.000001,0.000000,0.002969
q_ind_45_pop_0,0.009858,0.007164,0.000000,0.032759
q_ind_46_pop_0,0.002473,0.000052,0.000000,0.016508
q_ind_47_pop_0,0.037790,0.037935,0.021687,0.053069
q_ind_48_pop_0,0.007581,0.004445,0.000000,0.026928
q_ind_49_pop_0,0.000546,0.000003,0.000000,0.005145
q_ind_50_pop_0,0.013270,0.012792,0.000000,0.035260
q_ind_51_pop_0,0.058031,0.057911,0.039367,0.077319
q_ind_52_pop_0,0.001042,0.000009,0.000000,0.009222
q_ind_53_pop_0,0.029581,0.029562,0.015836,0.043745
q_ind_54_pop_0,0.038886,0.038709,0.021456,0.057359
