param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_51_pop_4,0.310260,0.401744,0.000001,0.444986
q_ind_52_pop_4,0.371434,0.448037,0.092435,0.503430
q_ind_53_pop_4,0.050505,0.000983,0.000000,0.212129
q_ind_54_pop_4,0.225481,0.139356,0.053143,0.577725
q_ind_55_pop_4,0.262865,0.175707,0.070395,0.638423
q_ind_56_pop_4,0.000023,0.000000,0.000000,0.000228
q_ind_57_pop_4,0.000034,0.000000,0.000000,0.000321
q_ind_58_pop_4,0.000018,0.000000,0.000000,0.000179
q_ind_59_pop_4,0.016921,0.018271,0.000000,0.039830
q_ind_60_pop_4,0.000025,0.000000,0.000000,0.000250
q_ind_61_pop_4,0.000068,0.000000,0.000000,0.000652
q_ind_62_pop_4,0.000021,0.000000,0.000000,0.000203
q_ind_63_pop_4,0.129328,0.058618,0.000000,0.421114
q_ind_64_pop_4,0.000037,0.000000,0.000000,0.000353
q_ind_65_pop_4,0.002794,0.000158,0.000000,0.016494
q_ind_66_pop_4,0.000028,0.000000,0.000000,0.000265
q_ind_67_pop_4,0.032365,0.000243,0.000000,0.136380
q_ind_68_pop_4,0.000034,0.000000,0.000000,0.000342
q_ind_69_pop_4,0.027649,0.000025,0.000000,0.124166
q_ind_70_pop_4,0.000028,0.000000,0.000000,0.000274
q_ind_71_pop_4,0.027252,0.000145,0.000000,0.118895
q_ind_72_pop_4,0.000033,0.000000,0.000000,0.000325
q_ind_73_pop_4,0.000041,0.000000,0.000000,0.000398
q_ind_74_pop_4,0.000021,0.000000,0.000000,0.000203
q_ind_75_pop_4,0.000022,0.000000,0.000000,0.000213
q_ind_76_pop_4,0.000041,0.000000,0.000000,0.000401
q_ind_77_pop_4,0.185212,0.065031,0.000000,0.611842
q_ind_78_pop_4,0.000020,0.000000,0.000000,0.000198
q_ind_79_pop_4,0.000047,0.000000,0.000000,0.000469
q_ind_80_pop_4,0.000021,0.000000,0.000000,0.000204
q_ind_81_pop_4,0.000023,0.000000,0.000000,0.000225
q_ind_82_pop_4,0.085864,0.071683,0.000000,0.216753
q_ind_83_pop_4,0.183741,0.063230,0.000000,0.615831
q_ind_84_pop_4,0.000073,0.000001,0.000000,0.000713
q_ind_85_pop_4,0.163872,0.086602,0.056668,0.432515
q_ind_86_pop_4,0.000034,0.000000,0.000000,0.000335
q_ind_87_pop_4,0.000064,0.000000,0.000000,0.000621
q_ind_88_pop_4,0.000364,0.000003,0.000000,0.003418
q_ind_89_pop_4,0.000032,0.000000,0.000000,0.000316
q_ind_90_pop_4,0.000266,0.000002,0.000000,0.002574
q_ind_91_pop_4,0.000065,0.000000,0.000000,0.000630
q_ind_92_pop_4,0.000033,0.000000,0.000000,0.000314
q_ind_93_pop_4,0.000036,0.000000,0.000000,0.000342
q_ind_94_pop_4,0.223718,0.097430,0.000000,0.719470
q_ind_95_pop_4,0.243115,0.152335,0.125815,0.551766
q_ind_96_pop_4,0.245590,0.216664,0.044097,0.513212
q_ind_97_pop_4,0.227772,0.171334,0.040799,0.535922
q_ind_98_pop_4,0.213736,0.131425,0.060706,0.540020
q_ind_99_pop_4,0.193989,0.150545,0.000000,0.495614
q_ind_100_pop_4,0.180821,0.057224,0.000000,0.621718
q_ind_101_pop_4,0.200833,0.038036,0.000000,0.717611
q_ind_102_pop_4,0.195994,0.069499,0.000000,0.664598
q_ind_103_pop_4,0.169491,0.039386,0.000000,0.615312
q_ind_104_pop_4,0.167339,0.021553,0.000000,0.621079
q_ind_105_pop_4,0.215250,0.163104,0.035503,0.508466
q_ind_106_pop_4,0.150810,0.132412,0.000000,0.347260
q_ind_107_pop_4,0.199076,0.039856,0.000000,0.709839
q_ind_108_pop_4,0.219302,0.089430,0.000000,0.710515
q_ind_109_pop_4,0.220285,0.082360,0.020487,0.703611
q_ind_110_pop_4,0.000026,0.000000,0.000000,0.000251
q_ind_111_pop_4,0.144931,0.062082,0.010023,0.453163
q_ind_112_pop_4,0.000027,0.000000,0.000000,0.000252
q_ind_113_pop_4,0.000033,0.000000,0.000000,0.000320
q_ind_114_pop_4,0.000034,0.000000,0.000000,0.000324
q_ind_115_pop_4,0.156293,0.068534,0.037229,0.458456
q_ind_116_pop_4,0.000054,0.000000,0.000000,0.000526
q_ind_117_pop_4,0.274985,0.153300,0.098083,0.703706
q_ind_118_pop_4,0.209434,0.181704,0.075041,0.406225
q_ind_119_pop_4,0.244704,0.257756,0.033058,0.436542
q_ind_120_pop_4,0.295730,0.206491,0.119217,0.659787
q_ind_121_pop_4,0.285924,0.187144,0.090895,0.686303
q_ind_122_pop_4,0.273779,0.161458,0.097230,0.683458
q_ind_123_pop_4,0.238644,0.140366,0.072694,0.610425
q_ind_124_pop_4,0.226291,0.163242,0.000000,0.589111
q_ind_125_pop_4,0.398454,0.442455,0.026504,0.683588
q_ind_126_pop_4,0.499625,0.496623,0.000000,0.999967
q_ind_127_pop_4,0.246945,0.139149,0.082936,0.633006
q_ind_128_pop_4,0.499558,0.497290,0.000000,0.999968
q_ind_129_pop_4,0.247199,0.225536,0.000000,0.558504
q_ind_130_pop_4,0.174886,0.101935,0.021696,0.481924
q_ind_131_pop_4,0.381519,0.408482,0.000000,0.733557
q_ind_132_pop_4,0.167717,0.057781,0.036112,0.530701
q_ind_133_pop_4,0.286220,0.282646,0.043623,0.543403
q_ind_134_pop_4,0.147854,0.051637,0.000000,0.505525
q_ind_135_pop_4,0.116722,0.072032,0.024045,0.309682
q_ind_136_pop_4,0.153776,0.067286,0.000000,0.492103
q_ind_137_pop_4,0.166820,0.201389,0.000000,0.289011
q_ind_138_pop_4,0.170116,0.107375,0.054151,0.419959
q_ind_139_pop_4,0.158037,0.080183,0.017723,0.461088
q_ind_140_pop_4,0.158263,0.077105,0.045887,0.441772
q_ind_141_pop_4,0.188569,0.099443,0.000105,0.557602
q_ind_142_pop_4,0.216882,0.137561,0.053294,0.548008
q_ind_143_pop_4,0.160273,0.102160,0.045301,0.403007
q_ind_144_pop_4,0.150950,0.030897,0.000000,0.544699
q_ind_145_pop_4,0.151402,0.083969,0.008492,0.434538
q_ind_146_pop_4,0.214314,0.159865,0.015711,0.530642
q_ind_147_pop_4,0.228304,0.183204,0.000251,0.552883
q_ind_148_pop_4,0.210455,0.151452,0.019347,0.529705
q_ind_0_pop_5,0.000402,0.000003,0.000000,0.003887
q_ind_1_pop_5,0.000030,0.000000,0.000000,0.000295
q_ind_2_pop_5,0.000030,0.000000,0.000000,0.000291
q_ind_3_pop_5,0.000021,0.000000,0.000000,0.000203
q_ind_4_pop_5,0.000025,0.000000,0.000000,0.000240
q_ind_5_pop_5,0.059474,0.059370,0.045789,0.073632
q_ind_6_pop_5,0.000025,0.000000,0.000000,0.000244
q_ind_7_pop_5,0.000028,0.000000,0.000000,0.000272
q_ind_8_pop_5,0.000029,0.000000,0.000000,0.000275
q_ind_9_pop_5,0.000034,0.000000,0.000000,0.000330
q_ind_10_pop_5,0.000024,0.000000,0.000000,0.000237
q_ind_11_pop_5,0.000506,0.000002,0.000000,0.005223
q_ind_12_pop_5,0.000996,0.000006,0.000000,0.009612
q_ind_13_pop_5,0.000856,0.000004,0.000000,0.009209
q_ind_14_pop_5,0.161591,0.159296,0.138470,0.191615
q_ind_15_pop_5,0.075155,0.075015,0.057330,0.093939
q_ind_16_pop_5,0.201847,0.201086,0.178555,0.228064
q_ind_17_pop_5,0.183324,0.182042,0.162279,0.209295
q_ind_18_pop_5,0.205605,0.205158,0.185776,0.227349
q_ind_19_pop_5,0.002316,0.000043,0.000000,0.017886
q_ind_20_pop_5,0.002433,0.000066,0.000000,0.015917
q_ind_21_pop_5,0.002666,0.000055,0.000000,0.019125
q_ind_22_pop_5,0.036748,0.036620,0.020471,0.054116
q_ind_23_pop_5,0.142866,0.142634,0.123705,0.162879
q_ind_24_pop_5,0.080823,0.080794,0.063015,0.098860
q_ind_25_pop_5,0.031065,0.031164,0.013143,0.048895
q_ind_26_pop_5,0.000147,0.000001,0.000000,0.001406
q_ind_27_pop_5,0.078098,0.077850,0.060269,0.097115
q_ind_28_pop_5,0.000696,0.000005,0.000000,0.006766
q_ind_29_pop_5,0.001169,0.000011,0.000000,0.010298
q_ind_30_pop_5,0.001882,0.000038,0.000000,0.013523
q_ind_31_pop_5,0.000732,0.000005,0.000000,0.007134
q_ind_32_pop_5,0.118323,0.118245,0.100455,0.136912
q_ind_33_pop_5,0.158056,0.157752,0.138426,0.179112
q_ind_34_pop_5,0.101901,0.101925,0.086413,0.117523
q_ind_35_pop_5,0.035019,0.034065,0.015369,0.058247
q_ind_36_pop_5,0.126542,0.123884,0.102944,0.158705
q_ind_37_pop_5,0.059815,0.059343,0.040524,0.081930
q_ind_38_pop_5,0.054625,0.054164,0.035219,0.076363
q_ind_39_pop_5,0.172456,0.169147,0.149289,0.205518
q_ind_40_pop_5,0.999600,0.999732,0.998469,0.999992
q_ind_41_pop_5,0.999457,0.999644,0.997879,0.999989
q_ind_42_pop_5,0.999589,0.999727,0.998422,0.999992
q_ind_43_pop_5,0.107176,0.107090,0.088461,0.126577
q_ind_44_pop_5,0.083992,0.082027,0.061953,0.112533
q_ind_45_pop_5,0.014856,0.014750,0.000000,0.036024
q_ind_46_pop_5,0.011127,0.007811,0.000000,0.037955
q_ind_47_pop_5,0.338589,0.338473,0.321195,0.356258
q_ind_48_pop_5,0.245407,0.244802,0.226427,0.267521
q_ind_49_pop_5,0.000150,0.000001,0.000000,0.001454
q_ind_50_pop_5,0.053053,0.052933,0.034544,0.071954
q_ind_51_pop_5,0.026443,0.026447,0.006920,0.046086
q_ind_52_pop_5,0.000350,0.000003,0.000000,0.003407
q_ind_53_pop_5,0.655525,0.655278,0.636607,0.675365
q_ind_54_pop_5,0.080457,0.080253,0.062119,0.100170
q_ind_55_pop_5,0.005813,0.000821,0.000000,0.028058
q_ind_56_pop_5,0.000024,0.000000,0.000000,0.000229
q_ind_57_pop_5,0.000029,0.000000,0.000000,0.000286
q_ind_58_pop_5,0.000018,0.000000,0.000000,0.000179
q_ind_59_pop_5,0.020020,0.019935,0.009489,0.030891
q_ind_60_pop_5,0.000023,0.000000,0.000000,0.000227
q_ind_61_pop_5,0.000107,0.000001,0.000000,0.001038
q_ind_62_pop_5,0.000019,0.000000,0.000000,0.000186
q_ind_63_pop_5,0.007910,0.005925,0.000000,0.025947
q_ind_64_pop_5,0.000042,0.000000,0.000000,0.000407
q_ind_65_pop_5,0.011276,0.011353,0.000046,0.021352
q_ind_66_pop_5,0.000031,0.000000,0.000000,0.000303
q_ind_67_pop_5,0.000144,0.000001,0.000000,0.001377
q_ind_68_pop_5,0.000029,0.000000,0.000000,0.000289
q_ind_69_pop_5,0.000379,0.000003,0.000000,0.003676
q_ind_70_pop_5,0.000028,0.000000,0.000000,0.000291
q_ind_71_pop_5,0.000125,0.000001,0.000000,0.001201
q_ind_72_pop_5,0.000031,0.000000,0.000000,0.000302
q_ind_73_pop_5,0.000052,0.000000,0.000000,0.000506
q_ind_74_pop_5,0.000019,0.000000,0.000000,0.000190
q_ind_75_pop_5,0.000021,0.000000,0.000000,0.000195
q_ind_76_pop_5,0.000040,0.000000,0.000000,0.000381
q_ind_77_pop_5,0.000149,0.000001,0.000000,0.001488
q_ind_78_pop_5,0.000020,0.000000,0.000000,0.000191
q_ind_79_pop_5,0.000034,0.000000,0.000000,0.000339
q_ind_80_pop_5,0.000019,0.000000,0.000000,0.000180
q_ind_81_pop_5,0.000022,0.000000,0.000000,0.000215
q_ind_82_pop_5,0.000137,0.000001,0.000000,0.001318
q_ind_83_pop_5,0.000106,0.000001,0.000000,0.001038
q_ind_84_pop_5,0.000062,0.000000,0.000000,0.000606
q_ind_85_pop_5,0.000217,0.000002,0.000000,0.002006
q_ind_86_pop_5,0.000039,0.000000,0.000000,0.000393
q_ind_87_pop_5,0.000057,0.000000,0.000000,0.000545
q_ind_88_pop_5,0.000869,0.000007,0.000000,0.007936
q_ind_89_pop_5,0.000035,0.000000,0.000000,0.000338
q_ind_90_pop_5,0.000329,0.000002,0.000000,0.003251
q_ind_91_pop_5,0.000060,0.000000,0.000000,0.000578
q_ind_92_pop_5,0.000033,0.000000,0.000000,0.000323
q_ind_93_pop_5,0.000036,0.000000,0.000000,0.000352
q_ind_94_pop_5,0.042349,0.040176,0.020350,0.071452
q_ind_95_pop_5,0.004699,0.000322,0.000000,0.024844
q_ind_96_pop_5,0.061480,0.061446,0.043660,0.079597
q_ind_97_pop_5,0.047525,0.047472,0.028402,0.067187
q_ind_98_pop_5,0.126920,0.126964,0.107883,0.146088
q_ind_99_pop_5,0.118262,0.117725,0.096712,0.142516
q_ind_100_pop_5,0.141859,0.139820,0.118684,0.172272
q_ind_101_pop_5,0.153256,0.147193,0.124471,0.197804
q_ind_102_pop_5,0.087776,0.086634,0.066496,0.113880
q_ind_103_pop_5,0.094329,0.093617,0.077828,0.114386
q_ind_104_pop_5,0.112021,0.109384,0.090364,0.141932
q_ind_105_pop_5,0.001020,0.000011,0.000000,0.008609
q_ind_106_pop_5,0.003475,0.000155,0.000000,0.020515
q_ind_107_pop_5,0.145733,0.143217,0.124765,0.174483
q_ind_108_pop_5,0.000765,0.000008,0.000000,0.006726
q_ind_109_pop_5,0.001169,0.000014,0.000000,0.009903
q_ind_110_pop_5,0.000027,0.000000,0.000000,0.000257
q_ind_111_pop_5,0.098256,0.097870,0.079248,0.119301
q_ind_112_pop_5,0.000028,0.000000,0.000000,0.000272
q_ind_113_pop_5,0.000032,0.000000,0.000000,0.000310
q_ind_114_pop_5,0.000032,0.000000,0.000000,0.000311
q_ind_115_pop_5,0.103621,0.103434,0.087182,0.121178
q_ind_116_pop_5,0.000046,0.000000,0.000000,0.000436
q_ind_117_pop_5,0.000306,0.000002,0.000000,0.002980
q_ind_118_pop_5,0.154036,0.153904,0.137057,0.171632
q_ind_119_pop_5,0.139947,0.139782,0.121783,0.158349
q_ind_120_pop_5,0.025241,0.026223,0.000000,0.046965
q_ind_121_pop_5,0.000190,0.000001,0.000000,0.001861
